"taskIndex","scenario","orientation","attackerLabelIndex","repeat","seed","jobId","passed","updates","transitionUpdate","attackerAttributed","ownerAttributed","legacyAttackerAttributed","legacyOwnerAttributed","recordCount","plainBytes","gzipBytes","caseSha256","streamPlainSha256","streamGzipSha256"
"22","capture","1","1","0","3100500201","24647841","true","2432","2432","false","false","false","false","2435","6630521","82692","40a616503ee69cce98d0e16656fa7892e99bafc79eb86b3094bf4d8916ba3fac","0a82dc56bde58e4b414ff2691e5aea4740b58022afd69a4c1cd0538c7689381f","f07fd6a621f66f12a78b7d501047c3f3032656f6e5867b811d2afda336fb4615"
"23","capture","1","1","1","3100500201","24647843","true","2432","2432","false","false","false","false","2435","6630521","82692","2821567cc3b0feb33d1a788a6ee5125435c181a464477555224eac4b34e73123","0a82dc56bde58e4b414ff2691e5aea4740b58022afd69a4c1cd0538c7689381f","f07fd6a621f66f12a78b7d501047c3f3032656f6e5867b811d2afda336fb4615"
"24","sale","0","0","0","3100500300","24647844","true","1854","1854","false","false","false","false","1857","4951863","63173","6e3ad771c58627086742644afb08cbd612a4ff9a8028ee871dd92f8aedfd4a57","b95fb94a72be04cd8da94d72a5a5c5f74fdeebd40fc844436943bc55230a7d98","3b092d4743814bbd6540df6eba957e9eab332fc4e0776875819ef28b1732eb55"
"25","sale","0","0","1","3100500300","24647845","true","1854","1854","false","false","false","false","1857","4951863","63173","ff47d321ca8038fe05761bde8ad6117f22ccf644d6c5b97371130885e4e8192f","b95fb94a72be04cd8da94d72a5a5c5f74fdeebd40fc844436943bc55230a7d98","3b092d4743814bbd6540df6eba957e9eab332fc4e0776875819ef28b1732eb55"
"26","sale","0","1","0","3100500300","24647846","true","1854","1854","false","false","false","false","1857","4951863","63173","7279a611a4f8cd0d878931404d072c4f6292079b325ea8c757de49fccf2ae4fa","b95fb94a72be04cd8da94d72a5a5c5f74fdeebd40fc844436943bc55230a7d98","3b092d4743814bbd6540df6eba957e9eab332fc4e0776875819ef28b1732eb55"
"27","sale","0","1","1","3100500300","24647847","true","1854","1854","false","false","false","false","1857","4951863","63173","1b994bf5a39e086553abdb96ca79ca4377642a5f7b51fd7709154296ed19b0a9","b95fb94a72be04cd8da94d72a5a5c5f74fdeebd40fc844436943bc55230a7d98","3b092d4743814bbd6540df6eba957e9eab332fc4e0776875819ef28b1732eb55"
"28","sale","1","0","0","3100500301","24647848","true","1854","1854","false","false","false","false","1857","4997832","62713","a5f149d3cb7439a936397188afa4cac88e8dbee53f3ed396f42386d7a042d1f0","f159d92e004bb767d4535d13a9bdd8d42935d569ff60ea2228e5f0bda66b335d","b693c501ad7ed656327b2c221d2947dbcbc149aef5548468b4b4a0d1f12796c2"
"29","sale","1","0","1","3100500301","24647849","true","1854","1854","false","false","false","false","1857","4997832","62713","524f5d211b6606cc6f2e9e6e7b387c8e5574b64494c40046a2272d76413bec2a","f159d92e004bb767d4535d13a9bdd8d42935d569ff60ea2228e5f0bda66b335d","b693c501ad7ed656327b2c221d2947dbcbc149aef5548468b4b4a0d1f12796c2"
"30","sale","1","1","0","3100500301","24647850","true","1854","1854","false","false","false","false","1857","4997832","62713","ba573539146ab3f546ec7f8488a067c94c25848a4a5e02e86dd8beeadbbeee0f","f159d92e004bb767d4535d13a9bdd8d42935d569ff60ea2228e5f0bda66b335d","b693c501ad7ed656327b2c221d2947dbcbc149aef5548468b4b4a0d1f12796c2"
"31","sale","1","1","1","3100500301","24647853","true","1854","1854","false","false","false","false","1857","4997832","62713","f34d3e9cb83fbd58935087e9790be0cd3ef30e4e52e652cc840beb5343abae08","f159d92e004bb767d4535d13a9bdd8d42935d569ff60ea2228e5f0bda66b335d","b693c501ad7ed656327b2c221d2947dbcbc149aef5548468b4b4a0d1f12796c2"
"32","cleanup","0","0","0","3100500400","24647854","true","1801","1801","false","false","false","false","1804","4803035","61455","9b58e02343b8d3d491b4cd9a73b0899eced1b04dc404b432e7bcc3fa1c9a7725","2a7fe8c32993c7c5b655046beaec65e0343348b6b21f7e8e9d86d9f6970bb69e","5e5e2b703af45758c047202d167f5e5d54a616c742562f2077a6072fb5a670c7"
"33","cleanup","0","0","1","3100500400","24647855","true","1801","1801","false","false","false","false","1804","4803035","61455","9ab21fa79c2c5bd8ecfa6afc7c5aa7c930b1e5566c18e06ab2e400829ea050e5","2a7fe8c32993c7c5b655046beaec65e0343348b6b21f7e8e9d86d9f6970bb69e","5e5e2b703af45758c047202d167f5e5d54a616c742562f2077a6072fb5a670c7"
"34","cleanup","0","1","0","3100500400","24647856","true","1801","1801","false","false","false","false","1804","4803035","61455","ecacc7cb6c9fcf7db42570c4468dd6f29b7975b71951a9feeec1bf0a1cb8aaf4","2a7fe8c32993c7c5b655046beaec65e0343348b6b21f7e8e9d86d9f6970bb69e","5e5e2b703af45758c047202d167f5e5d54a616c742562f2077a6072fb5a670c7"
"35","cleanup","0","1","1","3100500400","24647857","true","1801","1801","false","false","false","false","1804","4803035","61455","44e0fb951bbc8a6c150e58668a3c3593b86f53cfc731a11cf704eed2f49882fd","2a7fe8c32993c7c5b655046beaec65e0343348b6b21f7e8e9d86d9f6970bb69e","5e5e2b703af45758c047202d167f5e5d54a616c742562f2077a6072fb5a670c7"
"36","cleanup","1","0","0","3100500401","24647859","true","1801","1801","false","false","false","false","1804","4849004","61006","478693571530c454572b7e5bd868ff12ad98b7dae807a55d4c88d40f375c1e98","e816029e77e3a6b1d1704bd4425b70ce324e476e4022aebedaca526693365c49","692a3cff77acf4a24e062ee4e8e44fe36b805745f91646249ab7804389df1473"
"37","cleanup","1","0","1","3100500401","24647860","true","1801","1801","false","false","false","false","1804","4849004","61006","8664005ad4b43b8039da06cce9fdc79160f5eaf29a13dea3d9262a8b0abdcdb6","e816029e77e3a6b1d1704bd4425b70ce324e476e4022aebedaca526693365c49","692a3cff77acf4a24e062ee4e8e44fe36b805745f91646249ab7804389df1473"
"38","cleanup","1","1","0","3100500401","24647861","true","1801","1801","false","false","false","false","1804","4849004","61006","bceaec91332f737afbf91772b7267261f34fe934d6a466ab3ceece2a65033be7","e816029e77e3a6b1d1704bd4425b70ce324e476e4022aebedaca526693365c49","692a3cff77acf4a24e062ee4e8e44fe36b805745f91646249ab7804389df1473"
"39","cleanup","1","1","1","3100500401","24647816","true","1801","1801","false","false","false","false","1804","4849004","61006","9161936f530b1bd1dd5740b2749accddd8950cf565064cd9ba17ec35a338282e","e816029e77e3a6b1d1704bd4425b70ce324e476e4022aebedaca526693365c49","692a3cff77acf4a24e062ee4e8e44fe36b805745f91646249ab7804389df1473"
