"task_index","scheduler_job_id","map_id","map_file","map_sha256","map_case_index","country","country_ordinal","candidate_slot","candidate_start","opponent_start","engine_seed","repeat","winner","endpoint_status","updates","candidate_buildings","opponent_buildings","source_commit","program_sha256","allocation_sha256","cell_sha256","cell_path"
"23","24603599","hfo-original","cd_chrono_mp32s8.map","907e5ab677a03c50f375da1bec4871880240de2fab790a38dac85674d0f65bf1","164","Alliance","1","0","120,83","87,157","3002000164","0","candidate","candidate_win","20510","10","0","a60efffa5f321f828ce1a6b7178b4a7c31483c31","e87fc92b01a072959125780a8e961d0e22854ad4b5759a963f861233a26a61ef","5a838bd9cb3edf06df288914ad5cea60b61983f29d183a1efdeb5a3c90e3295e","db465cf931f3dfb8e0e3cadcfa481d848e0f7105f6bc285020c6205b202d5d29","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/cells/task-023/cell.json"
"24","24603600","hfo-original","cd_chrono_mp32s8.map","907e5ab677a03c50f375da1bec4871880240de2fab790a38dac85674d0f65bf1","168","Alliance","1","1","39,82","88,34","3002000168","0","candidate","candidate_win","8062","7","0","a60efffa5f321f828ce1a6b7178b4a7c31483c31","e87fc92b01a072959125780a8e961d0e22854ad4b5759a963f861233a26a61ef","5a838bd9cb3edf06df288914ad5cea60b61983f29d183a1efdeb5a3c90e3295e","5258269841ac1d32393bc45b048bed941b4bc766c23dc540067892f64567550e","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/cells/task-024/cell.json"
"25","24603601","hfo-original","cd_chrono_mp32s8.map","907e5ab677a03c50f375da1bec4871880240de2fab790a38dac85674d0f65bf1","175","Alliance","1","1","88,34","39,82","3002000175","0","candidate","candidate_win","9418","7","0","a60efffa5f321f828ce1a6b7178b4a7c31483c31","e87fc92b01a072959125780a8e961d0e22854ad4b5759a963f861233a26a61ef","5a838bd9cb3edf06df288914ad5cea60b61983f29d183a1efdeb5a3c90e3295e","f3df95e9c9fb951ce0c68c755de09a71b800742fa2a607901dcfc2db070108ac","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/cells/task-025/cell.json"
"26","24603602","hfo-original","cd_chrono_mp32s8.map","907e5ab677a03c50f375da1bec4871880240de2fab790a38dac85674d0f65bf1","187","Alliance","1","1","151,119","146,76","3002000187","0","opponent","baseline_win","13722","0","5","a60efffa5f321f828ce1a6b7178b4a7c31483c31","e87fc92b01a072959125780a8e961d0e22854ad4b5759a963f861233a26a61ef","5a838bd9cb3edf06df288914ad5cea60b61983f29d183a1efdeb5a3c90e3295e","3d7a8c489fda6fc8e7c0d7ec08ac5aecca521c3e60fc9bdb5a2505fc826a975b","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/cells/task-026/cell.json"
"27","24603603","hfo-original","cd_chrono_mp32s8.map","907e5ab677a03c50f375da1bec4871880240de2fab790a38dac85674d0f65bf1","193","Alliance","1","1","87,157","119,152","3002000193","0","opponent","baseline_win","27144","0","7","a60efffa5f321f828ce1a6b7178b4a7c31483c31","e87fc92b01a072959125780a8e961d0e22854ad4b5759a963f861233a26a61ef","5a838bd9cb3edf06df288914ad5cea60b61983f29d183a1efdeb5a3c90e3295e","ef0957a08640776beb7f993a18533df07f70ea0876231acf545dae5b408affcc","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/cells/task-027/cell.json"
"28","24603604","hfo-original","cd_chrono_mp32s8.map","907e5ab677a03c50f375da1bec4871880240de2fab790a38dac85674d0f65bf1","202","Alliance","1","1","50,121","120,83","3002000202","0","candidate","candidate_win","20340","10","0","a60efffa5f321f828ce1a6b7178b4a7c31483c31","e87fc92b01a072959125780a8e961d0e22854ad4b5759a963f861233a26a61ef","5a838bd9cb3edf06df288914ad5cea60b61983f29d183a1efdeb5a3c90e3295e","bcdd580e86e76dd408d25ca073e2ac2570ab2630dfa80d0a2f338114f99fded9","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/cells/task-028/cell.json"
"29","24603605","hfo-original","cd_chrono_mp32s8.map","907e5ab677a03c50f375da1bec4871880240de2fab790a38dac85674d0f65bf1","205","Alliance","1","1","119,152","151,119","3002000205","0","candidate","candidate_win","9334","8","0","a60efffa5f321f828ce1a6b7178b4a7c31483c31","e87fc92b01a072959125780a8e961d0e22854ad4b5759a963f861233a26a61ef","5a838bd9cb3edf06df288914ad5cea60b61983f29d183a1efdeb5a3c90e3295e","cfc7f41aed13e1cd48f73edcf6b1e9e12827fba4fb93b15a3d8e49651251b92a","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/cells/task-029/cell.json"
"30","24603606","hfo-original","cd_chrono_mp32s8.map","907e5ab677a03c50f375da1bec4871880240de2fab790a38dac85674d0f65bf1","214","Alliance","1","1","146,76","50,121","3002000214","0","opponent","baseline_win","22834","0","7","a60efffa5f321f828ce1a6b7178b4a7c31483c31","e87fc92b01a072959125780a8e961d0e22854ad4b5759a963f861233a26a61ef","5a838bd9cb3edf06df288914ad5cea60b61983f29d183a1efdeb5a3c90e3295e","09316827ae33a866ae60cebe89bf0a0a3841b550dcf1e761c8d55c7b1446b3c0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/cells/task-030/cell.json"
"31","24603607","hfo-original","cd_chrono_mp32s8.map","907e5ab677a03c50f375da1bec4871880240de2fab790a38dac85674d0f65bf1","220","Alliance","1","1","120,83","87,157","3002000220","0","candidate","candidate_win","20675","10","0","a60efffa5f321f828ce1a6b7178b4a7c31483c31","e87fc92b01a072959125780a8e961d0e22854ad4b5759a963f861233a26a61ef","5a838bd9cb3edf06df288914ad5cea60b61983f29d183a1efdeb5a3c90e3295e","78fccf66f49d637edb2917db0973cfc2cd066b0dd018dd1c46a6adef8bc793d1","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/cells/task-031/cell.json"
"32","24603608","hfo-original","cd_chrono_mp32s8.map","907e5ab677a03c50f375da1bec4871880240de2fab790a38dac85674d0f65bf1","225","French","2","0","39,82","151,119","3002000225","0","opponent","baseline_win","8896","0","5","a60efffa5f321f828ce1a6b7178b4a7c31483c31","e87fc92b01a072959125780a8e961d0e22854ad4b5759a963f861233a26a61ef","5a838bd9cb3edf06df288914ad5cea60b61983f29d183a1efdeb5a3c90e3295e","c57580f24715884582280707a0ce547263d5ae59aed7932b91661137699a8b94","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/cells/task-032/cell.json"
"33","24603609","hfo-original","cd_chrono_mp32s8.map","907e5ab677a03c50f375da1bec4871880240de2fab790a38dac85674d0f65bf1","233","French","2","0","88,34","87,157","3002000233","0","candidate","candidate_win","18045","12","0","a60efffa5f321f828ce1a6b7178b4a7c31483c31","e87fc92b01a072959125780a8e961d0e22854ad4b5759a963f861233a26a61ef","5a838bd9cb3edf06df288914ad5cea60b61983f29d183a1efdeb5a3c90e3295e","001e7f2b5cb07685fbc32de7b78c07b516d97d3693edc9ad8ec4ded9b400e4d1","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/cells/task-033/cell.json"
"34","24603610","hfo-original","cd_chrono_mp32s8.map","907e5ab677a03c50f375da1bec4871880240de2fab790a38dac85674d0f65bf1","238","French","2","0","151,119","39,82","3002000238","0","draw","tick_cap_draw","90000","1","18","a60efffa5f321f828ce1a6b7178b4a7c31483c31","e87fc92b01a072959125780a8e961d0e22854ad4b5759a963f861233a26a61ef","5a838bd9cb3edf06df288914ad5cea60b61983f29d183a1efdeb5a3c90e3295e","2fe93c92e2cf93ffc4774b428934a8c27d15c8051e946672870ba1f9e17c5a91","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/cells/task-034/cell.json"
