"map_id","stratum_type","stratum","games","wins","draws","losses","winRate","scoreRate","oneSided95WilsonWinLower","medianLiteralWinUpdates","tickCapCount","source_path"
"hfo-corners","country","0","8","7","0","1","0.875","0.875","0.5888566256700796","19244","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-corners","country","1","8","6","0","2","0.75","0.75","0.46015304548726005","19459","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-corners","country","2","8","7","0","1","0.875","0.875","0.5888566256700796","19580","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-corners","country","3","8","6","0","2","0.75","0.75","0.46015304548726005","14145.5","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-corners","country","4","8","5","0","3","0.625","0.625","0.34799143840479974","19516","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-corners","country","5","8","5","0","3","0.625","0.625","0.34799143840479974","35901","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-corners","country","6","8","7","0","1","0.875","0.875","0.5888566256700796","11255","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-corners","country","7","8","6","0","2","0.75","0.75","0.46015304548726005","21681","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-corners","country","8","8","2","0","6","0.25","0.25","0.08651484419908748","25078","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-corners-b","faction","Allied","40","22","10","8","0.55","0.675","0.42157254675848177","21372","5","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-corners-b","faction","Soviet","32","10","5","17","0.3125","0.390625","0.19687775024982573","11860.5","3","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-corners-b","slot","0","36","14","7","15","0.3888888888888889","0.4861111111111111","0.2675335222195834","19438","4","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-corners-b","slot","1","36","18","8","10","0.5","0.6111111111111112","0.36780632496518567","20973","4","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-corners-b","start","119,152","18","9","4","5","0.5","0.6111111111111112","0.31926013888728955","12484","1","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-corners-b","start","151,119","18","6","6","6","0.3333333333333333","0.5","0.18332209055179066","14020.5","2","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-corners-b","start","39,82","18","5","5","8","0.2777777777777778","0.4166666666666667","0.14232387013748057","21307","5","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-corners-b","start","88,34","18","12","0","6","0.6666666666666666","0.6666666666666666","0.47309956069173476","21605.5","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-corners-b","country","0","8","5","1","2","0.625","0.6875","0.34799143840479974","19147","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-corners-b","country","1","8","5","3","0","0.625","0.8125","0.34799143840479974","22867","2","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-corners-b","country","2","8","3","1","4","0.375","0.4375","0.16117233776071346","15316","1","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-corners-b","country","3","8","6","0","2","0.75","0.75","0.46015304548726005","20604.5","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-corners-b","country","4","8","3","5","0","0.375","0.6875","0.16117233776071346","22505","2","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-corners-b","country","5","8","0","0","8","0","0","0","","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-corners-b","country","6","8","7","0","1","0.875","0.875","0.5888566256700796","10561","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-corners-b","country","7","8","1","4","3","0.125","0.375","0.028399323737820666","10996","3","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-corners-b","country","8","8","2","1","5","0.25","0.3125","0.08651484419908748","34152.5","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-corners-b-golden","faction","Allied","40","24","5","11","0.6","0.6625","0.4701941555436342","21463","1","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-corners-b-golden","faction","Soviet","32","18","2","12","0.5625","0.59375","0.4190329697544838","25063.5","2","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-corners-b-golden","slot","0","36","20","3","13","0.5555555555555556","0.5972222222222222","0.4202396719451361","22834","1","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-corners-b-golden","slot","1","36","22","4","10","0.6111111111111112","0.6666666666666666","0.47422226202473","21675","2","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-corners-b-golden","start","119,152","18","11","1","6","0.6111111111111112","0.6388888888888888","0.41977476572473044","13228","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-corners-b-golden","start","151,119","18","9","3","6","0.5","0.5833333333333334","0.31926013888728955","22526","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-corners-b-golden","start","39,82","18","7","3","8","0.3888888888888889","0.4722222222222222","0.22658978563143434","30092","3","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-corners-b-golden","start","88,34","18","15","0","3","0.8333333333333334","0.8333333333333334","0.6481957285589761","21934","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-corners-b-golden","country","0","8","6","1","1","0.75","0.8125","0.46015304548726005","19308","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
"hfo-corners-b-golden","country","1","8","4","2","2","0.5","0.625","0.24864189021256208","22340","0","/nfs/roberts/project/pi_jss233/zc362/chrono_divide/research-evidence/multimap-v2/screen-amendment-3/finalizer/screen.json"
