"caseIndex","opponent","opponentMapOrdinal","mapId","directionOrdinal","candidateStart","opponentStart","candidateStartOrdinal","opponentStartOrdinal","countryOrdinal","country","candidateSlot","requestedEngineSeed","maxUpdates","stratumId","topologyId","role","schedulerJobId","pairedArtifactSha256","sourceCommit","disabledV5","disabledV6","v2V5","v2V6"
"20","pinned_supalosa","0","hfo-le","1","88,34","39,82","1","0","1","Alliance","0","3350108020","24000","pinned_supalosa__hfo-le","hfo","competitive","27061668","3e67150c7cddf93a73e34c1c1579d0507a70828adb7094934fcb850ef8e149fe","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}"
"21","pinned_supalosa","0","hfo-le","1","88,34","39,82","1","0","1","Alliance","1","3350108021","24000","pinned_supalosa__hfo-le","hfo","competitive","27061669","28ecb7a9fefe170dc84f08330b7f3f84de679f14870853326a9369355dc6984f","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""candidate_win"",""tick"":15558,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":15558,""winner"":""candidate""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}"
"22","pinned_supalosa","0","hfo-le","1","88,34","39,82","1","0","2","French","0","3350108022","24000","pinned_supalosa__hfo-le","hfo","competitive","27061670","9d4a0833b8e94a527a14e7d2bc5ab63394fb424cfdf177e925b5f90a8e6fb001","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}"
"23","pinned_supalosa","0","hfo-le","1","88,34","39,82","1","0","2","French","1","3350108023","24000","pinned_supalosa__hfo-le","hfo","competitive","27061671","359c475555e174349280b4cd8c3240e4430e3b2b02928fab25f85fb91737b3b7","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""candidate_win"",""tick"":9592,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":9592,""winner"":""candidate""}"
"24","pinned_supalosa","0","hfo-le","1","88,34","39,82","1","0","3","Germans","0","3350108024","24000","pinned_supalosa__hfo-le","hfo","competitive","27061672","7fa8baf0382b5622bc989a20ce279387c182905f471b46235fe85b4859501198","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}"
"25","pinned_supalosa","0","hfo-le","1","88,34","39,82","1","0","3","Germans","1","3350108025","24000","pinned_supalosa__hfo-le","hfo","competitive","27061673","1be18a23759007825c4c1b93f5728f9ab4a2180c967417142fe562b3cf36fe9e","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""candidate_win"",""tick"":16601,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":16601,""winner"":""candidate""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}"
"26","pinned_supalosa","0","hfo-le","1","88,34","39,82","1","0","4","British","0","3350108026","24000","pinned_supalosa__hfo-le","hfo","competitive","27061674","8b8f1c9878188c000de3283bd07b6bf9dab087ebb7832cae497c360c3b8f054b","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""candidate_win"",""tick"":19610,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":19610,""winner"":""candidate""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}"
"27","pinned_supalosa","0","hfo-le","1","88,34","39,82","1","0","4","British","1","3350108027","24000","pinned_supalosa__hfo-le","hfo","competitive","27061675","b75c35d81c5f69f254c42810eec9ae7f6293233b623a96253e9ec462a500147c","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}"
"28","pinned_supalosa","0","hfo-le","1","88,34","39,82","1","0","5","Africans","0","3350108028","24000","pinned_supalosa__hfo-le","hfo","competitive","27061676","e9fa278bb962e19dccfd9ea82212c6caeb1595769be1a3310024d708fae24cb0","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""candidate_win"",""tick"":8452,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":8452,""winner"":""candidate""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}"
"29","pinned_supalosa","0","hfo-le","1","88,34","39,82","1","0","5","Africans","1","3350108029","24000","pinned_supalosa__hfo-le","hfo","competitive","27061677","de884b1059da9334555233fc5078b879645d9a0a4070caff96d0cfaead07fa6c","5d466599937d966b6dcc80fa2f4c9add7da767fd","{""status"":""candidate_win"",""tick"":19464,""winner"":""candidate""}","{""status"":""candidate_win"",""tick"":19464,""winner"":""candidate""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}","{""status"":""tick_cap_draw"",""tick"":24000,""winner"":""draw""}"
