"caseIndex","arm","updates","publicCall","budgetDiagnostics"
"110","disabled","24000","{""sha256"":""a2a186dd572fe3f7252d1cdc6f6cbed677ba121ddef8683bf309d97521d712e4"",""bySideAndMethod"":{""baseline.orderUnits"":792,""baseline.placeBuilding"":9,""baseline.queueForProduction"":125,""baseline.setUnitDebugText"":110,""baseline.toggleRepairWrench"":2,""baseline.unqueueFromProduction"":45,""candidate.orderUnits"":2600,""candidate.pauseProduction"":7,""candidate.placeBuilding"":14,""candidate.queueForProduction"":91,""candidate.resumeProduction"":7,""candidate.setUnitDebugText"":148,""candidate.unqueueFromProduction"":22}}",""
"110","separated_lanes_v2","24000","{""sha256"":""d4dcae714457e509e760c8f75ba6c58d37eecf9c8474c4115122c27ddb4d66d0"",""bySideAndMethod"":{""baseline.orderUnits"":797,""baseline.placeBuilding"":10,""baseline.queueForProduction"":122,""baseline.setUnitDebugText"":110,""baseline.toggleRepairWrench"":7,""baseline.unqueueFromProduction"":48,""candidate.orderUnits"":1725,""candidate.pauseProduction"":5,""candidate.placeBuilding"":14,""candidate.queueForProduction"":85,""candidate.resumeProduction"":5,""candidate.setUnitDebugText"":94,""candidate.unqueueFromProduction"":19}}","{""kind"":""unified-intent-d1-telemetry-v1"",""complete"":true,""updates"":24000,""budgetMode"":""separated_lanes_v2"",""commandCeiling"":115,""commandCeilingEnforced"":true,""rollingUpdates"":900,""referenceCommandCeiling"":115,""referenceExceededUpdates"":0,""budgetDenialUpdates"":2501,""budgetDeniedUnitIdOccurrences"":10675,""budgetDeniedDebugCalls"":46,""maxRollingCommandCalls"":115,""maxPendingUnitIds"":13,""maxForwardedChunkSize"":13,""counters"":{""gameplayNonorderCalls"":128,""productionBatches"":109,""proposedCalls"":2340,""proposedUnitIds"":5255,""forwardedOrderCalls"":1725,""forwardedUnitIds"":4049,""sameUnitConflicts"":944,""duplicateSuppressions"":243,""invalidUnitIds"":13,""invalidTargets"":6,""invalidTiles"":0,""supersededPending"":701,""expiredPending"":0,""revokedPending"":0,""deferredUnitIds"":10675,""pendingUnitIds"":10675,""debugProposals"":140,""debugCoalesced"":0,""debugForwarded"":94,""debugDropped"":46},""telemetrySha256"":""f3a31a0c5951d44ba178b7aea8435e90a4d17e1f3f80689bd8759f4188e52c31""}"
"110","separated_lanes_unbounded_d1","24000","{""sha256"":""2993cb24e037084315ec1a34739ea98246ab1867a08b9cdf05b088bda79a1d80"",""bySideAndMethod"":{""baseline.orderUnits"":792,""baseline.placeBuilding"":9,""baseline.queueForProduction"":125,""baseline.setUnitDebugText"":110,""baseline.toggleRepairWrench"":2,""baseline.unqueueFromProduction"":45,""candidate.orderUnits"":2495,""candidate.pauseProduction"":7,""candidate.placeBuilding"":14,""candidate.queueForProduction"":91,""candidate.resumeProduction"":7,""candidate.setUnitDebugText"":148,""candidate.unqueueFromProduction"":22}}","{""kind"":""unified-intent-d1-telemetry-v1"",""complete"":true,""updates"":24000,""budgetMode"":""separated_lanes_unbounded_d1"",""commandCeiling"":null,""commandCeilingEnforced"":false,""rollingUpdates"":900,""referenceCommandCeiling"":115,""referenceExceededUpdates"":6816,""budgetDenialUpdates"":0,""budgetDeniedUnitIdOccurrences"":0,""budgetDeniedDebugCalls"":0,""maxRollingCommandCalls"":211,""maxPendingUnitIds"":0,""maxForwardedChunkSize"":11,""counters"":{""gameplayNonorderCalls"":141,""productionBatches"":120,""proposedCalls"":2600,""proposedUnitIds"":4810,""forwardedOrderCalls"":2495,""forwardedUnitIds"":4717,""sameUnitConflicts"":93,""duplicateSuppressions"":0,""invalidUnitIds"":0,""invalidTargets"":0,""invalidTiles"":0,""supersededPending"":0,""expiredPending"":0,""revokedPending"":0,""deferredUnitIds"":0,""pendingUnitIds"":0,""debugProposals"":148,""debugCoalesced"":0,""debugForwarded"":148,""debugDropped"":0},""telemetrySha256"":""35e047eb6ef49057afbd3f3bfa8a60c24cafe528a8b46866f819da57405101d0""}"
"111","disabled","24000","{""sha256"":""adc73d5296b4553dc32e66af48fcc6d49785a14c8ea7bedbfd2d627f147a56c5"",""bySideAndMethod"":{""baseline.orderUnits"":801,""baseline.placeBuilding"":9,""baseline.queueForProduction"":107,""baseline.setUnitDebugText"":89,""baseline.toggleRepairWrench"":12,""baseline.unqueueFromProduction"":35,""candidate.orderUnits"":2118,""candidate.pauseProduction"":6,""candidate.placeBuilding"":16,""candidate.queueForProduction"":84,""candidate.resumeProduction"":3,""candidate.setUnitDebugText"":102,""candidate.toggleRepairWrench"":6,""candidate.unqueueFromProduction"":14}}",""
"111","separated_lanes_v2","24000","{""sha256"":""b0e9180e2a7bed77a3aaa55b19e7d628c28b77d840bf4274f431c0c0dc2bf606"",""bySideAndMethod"":{""baseline.orderUnits"":803,""baseline.placeBuilding"":9,""baseline.queueForProduction"":115,""baseline.setUnitDebugText"":104,""baseline.toggleRepairWrench"":3,""baseline.unqueueFromProduction"":39,""candidate.orderUnits"":2034,""candidate.pauseProduction"":9,""candidate.placeBuilding"":17,""candidate.queueForProduction"":81,""candidate.resumeProduction"":6,""candidate.setUnitDebugText"":79,""candidate.toggleRepairWrench"":4,""candidate.unqueueFromProduction"":13}}","{""kind"":""unified-intent-d1-telemetry-v1"",""complete"":true,""updates"":24000,""budgetMode"":""separated_lanes_v2"",""commandCeiling"":115,""commandCeilingEnforced"":true,""rollingUpdates"":900,""referenceCommandCeiling"":115,""referenceExceededUpdates"":0,""budgetDenialUpdates"":2550,""budgetDeniedUnitIdOccurrences"":7151,""budgetDeniedDebugCalls"":30,""maxRollingCommandCalls"":115,""maxPendingUnitIds"":7,""maxForwardedChunkSize"":8,""counters"":{""gameplayNonorderCalls"":130,""productionBatches"":104,""proposedCalls"":2508,""proposedUnitIds"":3962,""forwardedOrderCalls"":2034,""forwardedUnitIds"":3310,""sameUnitConflicts"":603,""duplicateSuppressions"":21,""invalidUnitIds"":14,""invalidTargets"":14,""invalidTiles"":0,""supersededPending"":401,""expiredPending"":0,""revokedPending"":0,""deferredUnitIds"":7151,""pendingUnitIds"":7151,""debugProposals"":109,""debugCoalesced"":0,""debugForwarded"":79,""debugDropped"":30},""telemetrySha256"":""29bf217d8d828d9f389a04c9c6f0c2ae27da9bdba0293c3c2cbb18765df83ab7""}"
"111","separated_lanes_unbounded_d1","24000","{""sha256"":""4cff9d689a2b046c3dcaf9e2849fb026ec99b7bc67df575e41a0e9ae124ed027"",""bySideAndMethod"":{""baseline.orderUnits"":801,""baseline.placeBuilding"":9,""baseline.queueForProduction"":107,""baseline.setUnitDebugText"":89,""baseline.toggleRepairWrench"":12,""baseline.unqueueFromProduction"":35,""candidate.orderUnits"":2043,""candidate.pauseProduction"":6,""candidate.placeBuilding"":16,""candidate.queueForProduction"":84,""candidate.resumeProduction"":3,""candidate.setUnitDebugText"":102,""candidate.toggleRepairWrench"":6,""candidate.unqueueFromProduction"":14}}","{""kind"":""unified-intent-d1-telemetry-v1"",""complete"":true,""updates"":24000,""budgetMode"":""separated_lanes_unbounded_d1"",""commandCeiling"":null,""commandCeilingEnforced"":false,""rollingUpdates"":900,""referenceCommandCeiling"":115,""referenceExceededUpdates"":5376,""budgetDenialUpdates"":0,""budgetDeniedUnitIdOccurrences"":0,""budgetDeniedDebugCalls"":0,""maxRollingCommandCalls"":225,""maxPendingUnitIds"":0,""maxForwardedChunkSize"":9,""counters"":{""gameplayNonorderCalls"":129,""productionBatches"":98,""proposedCalls"":2118,""proposedUnitIds"":4091,""forwardedOrderCalls"":2043,""forwardedUnitIds"":4091,""sameUnitConflicts"":0,""duplicateSuppressions"":0,""invalidUnitIds"":0,""invalidTargets"":0,""invalidTiles"":0,""supersededPending"":0,""expiredPending"":0,""revokedPending"":0,""deferredUnitIds"":0,""pendingUnitIds"":0,""debugProposals"":102,""debugCoalesced"":0,""debugForwarded"":102,""debugDropped"":0},""telemetrySha256"":""b21e7ffe087f4471fc71945db3490e0a331895c8a48e27d9efe1477e874959b9""}"
"112","disabled","9442","{""sha256"":""7d5dce81ab9a2449dc21430c39ac84631ba55be8a261a28f5016a67b4daeaa33"",""bySideAndMethod"":{""baseline.orderUnits"":226,""baseline.placeBuilding"":6,""baseline.queueForProduction"":46,""baseline.setUnitDebugText"":142,""baseline.toggleRepairWrench"":6,""baseline.unqueueFromProduction"":15,""candidate.orderUnits"":1077,""candidate.placeBuilding"":3,""candidate.queueForProduction"":62,""candidate.setUnitDebugText"":146,""candidate.unqueueFromProduction"":6}}",""
"112","separated_lanes_v2","18411","{""sha256"":""6518b8a17a4e78272fc7c83f59a18f942d25c33e1eea73b00fe010b9f357f970"",""bySideAndMethod"":{""baseline.orderUnits"":165,""baseline.placeBuilding"":6,""baseline.queueForProduction"":52,""baseline.quitGame"":873,""baseline.setUnitDebugText"":115,""baseline.toggleRepairWrench"":5,""baseline.unqueueFromProduction"":24,""candidate.activateSuperWeapon"":1,""candidate.orderUnits"":845,""candidate.pauseProduction"":4,""candidate.placeBuilding"":12,""candidate.queueForProduction"":69,""candidate.resumeProduction"":3,""candidate.setUnitDebugText"":123,""candidate.unqueueFromProduction"":12}}","{""kind"":""unified-intent-d1-telemetry-v1"",""complete"":true,""updates"":18411,""budgetMode"":""separated_lanes_v2"",""commandCeiling"":115,""commandCeilingEnforced"":true,""rollingUpdates"":900,""referenceCommandCeiling"":115,""referenceExceededUpdates"":0,""budgetDenialUpdates"":1846,""budgetDeniedUnitIdOccurrences"":10239,""budgetDeniedDebugCalls"":130,""maxRollingCommandCalls"":115,""maxPendingUnitIds"":16,""maxForwardedChunkSize"":40,""counters"":{""gameplayNonorderCalls"":101,""productionBatches"":86,""proposedCalls"":995,""proposedUnitIds"":3701,""forwardedOrderCalls"":845,""forwardedUnitIds"":3430,""sameUnitConflicts"":214,""duplicateSuppressions"":56,""invalidUnitIds"":1,""invalidTargets"":0,""invalidTiles"":0,""supersededPending"":149,""expiredPending"":0,""revokedPending"":0,""deferredUnitIds"":10239,""pendingUnitIds"":10239,""debugProposals"":253,""debugCoalesced"":0,""debugForwarded"":123,""debugDropped"":130},""telemetrySha256"":""98a5c9f9a244a809587cc2e39e22f79c431fbfb8a004a15249576b456ae50d65""}"
"112","separated_lanes_unbounded_d1","10163","{""sha256"":""49a4bfd1b5fb6185c77285444f64b69993d6e8ebc0364c6256ad41645d92c6f0"",""bySideAndMethod"":{""baseline.orderUnits"":227,""baseline.placeBuilding"":6,""baseline.queueForProduction"":47,""baseline.setUnitDebugText"":142,""baseline.toggleRepairWrench"":12,""baseline.unqueueFromProduction"":14,""candidate.orderUnits"":1092,""candidate.placeBuilding"":3,""candidate.queueForProduction"":64,""candidate.setUnitDebugText"":116,""candidate.unqueueFromProduction"":6}}","{""kind"":""unified-intent-d1-telemetry-v1"",""complete"":true,""updates"":10163,""budgetMode"":""separated_lanes_unbounded_d1"",""commandCeiling"":null,""commandCeilingEnforced"":false,""rollingUpdates"":900,""referenceCommandCeiling"":115,""referenceExceededUpdates"":5004,""budgetDenialUpdates"":0,""budgetDeniedUnitIdOccurrences"":0,""budgetDeniedDebugCalls"":0,""maxRollingCommandCalls"":169,""maxPendingUnitIds"":0,""maxForwardedChunkSize"":7,""counters"":{""gameplayNonorderCalls"":73,""productionBatches"":68,""proposedCalls"":1102,""proposedUnitIds"":1819,""forwardedOrderCalls"":1092,""forwardedUnitIds"":1803,""sameUnitConflicts"":0,""duplicateSuppressions"":16,""invalidUnitIds"":0,""invalidTargets"":0,""invalidTiles"":0,""supersededPending"":0,""expiredPending"":0,""revokedPending"":0,""deferredUnitIds"":0,""pendingUnitIds"":0,""debugProposals"":116,""debugCoalesced"":0,""debugForwarded"":116,""debugDropped"":0},""telemetrySha256"":""8a92e304adc94c4303b40540e8a7cf152433697b0a7b24e826ca356a16cc8049""}"
"113","disabled","9274","{""sha256"":""152dfde0a7bb338da69a25b2dadf0769eac0f59949ad9bfad509fb776c7daefd"",""bySideAndMethod"":{""baseline.orderUnits"":259,""baseline.placeBuilding"":5,""baseline.queueForProduction"":44,""baseline.setUnitDebugText"":346,""baseline.unqueueFromProduction"":13,""candidate.orderUnits"":903,""candidate.placeBuilding"":3,""candidate.queueForProduction"":62,""candidate.setUnitDebugText"":64,""candidate.unqueueFromProduction"":6}}",""
"113","separated_lanes_v2","16698","{""sha256"":""08df90c635f88492df4413147ff7fb8749e15c3edf9785519364b6ff9cf069f9"",""bySideAndMethod"":{""baseline.orderUnits"":664,""baseline.placeBuilding"":5,""baseline.queueForProduction"":60,""baseline.setUnitDebugText"":159,""baseline.toggleRepairWrench"":14,""baseline.unqueueFromProduction"":18,""candidate.activateSuperWeapon"":1,""candidate.orderUnits"":1098,""candidate.pauseProduction"":9,""candidate.placeBuilding"":10,""candidate.queueForProduction"":85,""candidate.resumeProduction"":9,""candidate.setUnitDebugText"":152,""candidate.unqueueFromProduction"":12}}","{""kind"":""unified-intent-d1-telemetry-v1"",""complete"":true,""updates"":16698,""budgetMode"":""separated_lanes_v2"",""commandCeiling"":115,""commandCeilingEnforced"":true,""rollingUpdates"":900,""referenceCommandCeiling"":115,""referenceExceededUpdates"":0,""budgetDenialUpdates"":1667,""budgetDeniedUnitIdOccurrences"":9148,""budgetDeniedDebugCalls"":51,""maxRollingCommandCalls"":115,""maxPendingUnitIds"":17,""maxForwardedChunkSize"":12,""counters"":{""gameplayNonorderCalls"":126,""productionBatches"":110,""proposedCalls"":1230,""proposedUnitIds"":2378,""forwardedOrderCalls"":1098,""forwardedUnitIds"":2151,""sameUnitConflicts"":154,""duplicateSuppressions"":53,""invalidUnitIds"":6,""invalidTargets"":14,""invalidTiles"":0,""supersededPending"":156,""expiredPending"":0,""revokedPending"":0,""deferredUnitIds"":9148,""pendingUnitIds"":9148,""debugProposals"":203,""debugCoalesced"":0,""debugForwarded"":152,""debugDropped"":51},""telemetrySha256"":""f79f6dd3f09ef2fbc4fa0b475f8ed87f9fc070c86d11b9dc92dab20ad8f01b90""}"
"113","separated_lanes_unbounded_d1","9856","{""sha256"":""189d99da3e3659eebc9ff96747e2811826c97f6947f4457309d1030bb99cd230"",""bySideAndMethod"":{""baseline.orderUnits"":246,""baseline.placeBuilding"":5,""baseline.queueForProduction"":45,""baseline.quitGame"":5,""baseline.setUnitDebugText"":350,""baseline.toggleRepairWrench"":3,""baseline.unqueueFromProduction"":14,""candidate.orderUnits"":926,""candidate.placeBuilding"":3,""candidate.queueForProduction"":64,""candidate.setUnitDebugText"":126,""candidate.unqueueFromProduction"":6}}","{""kind"":""unified-intent-d1-telemetry-v1"",""complete"":true,""updates"":9856,""budgetMode"":""separated_lanes_unbounded_d1"",""commandCeiling"":null,""commandCeilingEnforced"":false,""rollingUpdates"":900,""referenceCommandCeiling"":115,""referenceExceededUpdates"":3533,""budgetDenialUpdates"":0,""budgetDeniedUnitIdOccurrences"":0,""budgetDeniedDebugCalls"":0,""maxRollingCommandCalls"":155,""maxPendingUnitIds"":0,""maxForwardedChunkSize"":14,""counters"":{""gameplayNonorderCalls"":73,""productionBatches"":68,""proposedCalls"":934,""proposedUnitIds"":1467,""forwardedOrderCalls"":926,""forwardedUnitIds"":1454,""sameUnitConflicts"":0,""duplicateSuppressions"":13,""invalidUnitIds"":0,""invalidTargets"":0,""invalidTiles"":0,""supersededPending"":0,""expiredPending"":0,""revokedPending"":0,""deferredUnitIds"":0,""pendingUnitIds"":0,""debugProposals"":126,""debugCoalesced"":0,""debugForwarded"":126,""debugDropped"":0},""telemetrySha256"":""805b4e77c9fd5bf54766633f1456fcd7a0fc1a68ecb5f1aee5614a0606c4a5bf""}"
"114","disabled","24000","{""sha256"":""7d621ea4655f12d6dad502cc7f7d5d6a38ae2438f4fd4739c593fb136949a050"",""bySideAndMethod"":{""baseline.orderUnits"":917,""baseline.placeBuilding"":9,""baseline.queueForProduction"":82,""baseline.setUnitDebugText"":106,""baseline.unqueueFromProduction"":28,""candidate.orderUnits"":1703,""candidate.pauseProduction"":7,""candidate.placeBuilding"":8,""candidate.queueForProduction"":108,""candidate.resumeProduction"":3,""candidate.setUnitDebugText"":271,""candidate.toggleRepairWrench"":17,""candidate.unqueueFromProduction"":16}}",""
"114","separated_lanes_v2","24000","{""sha256"":""1f192fa9ea9c9c1e3fc8fddcdcbd74b0d08775bcf8cf5b50aaccce2adbb7fed3"",""bySideAndMethod"":{""baseline.orderUnits"":751,""baseline.placeBuilding"":12,""baseline.queueForProduction"":77,""baseline.setUnitDebugText"":68,""baseline.toggleRepairWrench"":10,""baseline.unqueueFromProduction"":17,""candidate.orderUnits"":2562,""candidate.pauseProduction"":8,""candidate.placeBuilding"":13,""candidate.queueForProduction"":182,""candidate.resumeProduction"":8,""candidate.setUnitDebugText"":124,""candidate.unqueueFromProduction"":20}}","{""kind"":""unified-intent-d1-telemetry-v1"",""complete"":true,""updates"":24000,""budgetMode"":""separated_lanes_v2"",""commandCeiling"":115,""commandCeilingEnforced"":true,""rollingUpdates"":900,""referenceCommandCeiling"":115,""referenceExceededUpdates"":0,""budgetDenialUpdates"":8590,""budgetDeniedUnitIdOccurrences"":57105,""budgetDeniedDebugCalls"":418,""maxRollingCommandCalls"":115,""maxPendingUnitIds"":35,""maxForwardedChunkSize"":16,""counters"":{""gameplayNonorderCalls"":231,""productionBatches"":215,""proposedCalls"":5041,""proposedUnitIds"":18454,""forwardedOrderCalls"":2562,""forwardedUnitIds"":6208,""sameUnitConflicts"":1271,""duplicateSuppressions"":220,""invalidUnitIds"":8,""invalidTargets"":18,""invalidTiles"":0,""supersededPending"":1282,""expiredPending"":9,""revokedPending"":10713,""deferredUnitIds"":57105,""pendingUnitIds"":57105,""debugProposals"":542,""debugCoalesced"":0,""debugForwarded"":124,""debugDropped"":418},""telemetrySha256"":""ffae76cebf231fa1addacd9090d876d1a6b6bb10249b9b2937cc5ea7b9a1420d""}"
"114","separated_lanes_unbounded_d1","24000","{""sha256"":""2e999ac3110d12a53b2324c525d8548757b15f5b5ee592bb165569c4ec4ca18b"",""bySideAndMethod"":{""baseline.orderUnits"":917,""baseline.placeBuilding"":9,""baseline.queueForProduction"":82,""baseline.setUnitDebugText"":106,""baseline.unqueueFromProduction"":28,""candidate.orderUnits"":1675,""candidate.pauseProduction"":7,""candidate.placeBuilding"":8,""candidate.queueForProduction"":108,""candidate.resumeProduction"":3,""candidate.setUnitDebugText"":271,""candidate.toggleRepairWrench"":17,""candidate.unqueueFromProduction"":16}}","{""kind"":""unified-intent-d1-telemetry-v1"",""complete"":true,""updates"":24000,""budgetMode"":""separated_lanes_unbounded_d1"",""commandCeiling"":null,""commandCeilingEnforced"":false,""rollingUpdates"":900,""referenceCommandCeiling"":115,""referenceExceededUpdates"":5664,""budgetDenialUpdates"":0,""budgetDeniedUnitIdOccurrences"":0,""budgetDeniedDebugCalls"":0,""maxRollingCommandCalls"":237,""maxPendingUnitIds"":0,""maxForwardedChunkSize"":13,""counters"":{""gameplayNonorderCalls"":159,""productionBatches"":126,""proposedCalls"":1703,""proposedUnitIds"":2225,""forwardedOrderCalls"":1675,""forwardedUnitIds"":2225,""sameUnitConflicts"":0,""duplicateSuppressions"":0,""invalidUnitIds"":0,""invalidTargets"":0,""invalidTiles"":0,""supersededPending"":0,""expiredPending"":0,""revokedPending"":0,""deferredUnitIds"":0,""pendingUnitIds"":0,""debugProposals"":271,""debugCoalesced"":0,""debugForwarded"":271,""debugDropped"":0},""telemetrySha256"":""345e0d8329a45d85f82737a4adea88138186baf16c61cc88ec3393b0be989c37""}"
"115","disabled","24000","{""sha256"":""4fc6d25aabdcf71a3130b86f1162597bee5d5580ce9f7c8ab04e9e75f08ab1b9"",""bySideAndMethod"":{""baseline.orderUnits"":952,""baseline.placeBuilding"":7,""baseline.queueForProduction"":116,""baseline.setUnitDebugText"":108,""baseline.unqueueFromProduction"":28,""candidate.orderUnits"":2900,""candidate.pauseProduction"":83,""candidate.placeBuilding"":17,""candidate.queueForProduction"":191,""candidate.resumeProduction"":81,""candidate.setUnitDebugText"":512,""candidate.toggleRepairWrench"":20,""candidate.unqueueFromProduction"":48}}",""
"115","separated_lanes_v2","9045","{""sha256"":""e86d1656c4695495a24cdaeffe02416891d9969a3f7169eca2615c0b397f2609"",""bySideAndMethod"":{""baseline.orderUnits"":417,""baseline.placeBuilding"":6,""baseline.queueForProduction"":59,""baseline.setUnitDebugText"":54,""baseline.unqueueFromProduction"":5,""candidate.orderUnits"":889,""candidate.placeBuilding"":3,""candidate.queueForProduction"":88,""candidate.setUnitDebugText"":31,""candidate.toggleRepairWrench"":5,""candidate.unqueueFromProduction"":18}}","{""kind"":""unified-intent-d1-telemetry-v1"",""complete"":true,""updates"":9045,""budgetMode"":""separated_lanes_v2"",""commandCeiling"":115,""commandCeilingEnforced"":true,""rollingUpdates"":900,""referenceCommandCeiling"":115,""referenceExceededUpdates"":0,""budgetDenialUpdates"":3960,""budgetDeniedUnitIdOccurrences"":18059,""budgetDeniedDebugCalls"":195,""maxRollingCommandCalls"":115,""maxPendingUnitIds"":17,""maxForwardedChunkSize"":13,""counters"":{""gameplayNonorderCalls"":114,""productionBatches"":105,""proposedCalls"":1218,""proposedUnitIds"":1730,""forwardedOrderCalls"":889,""forwardedUnitIds"":1261,""sameUnitConflicts"":351,""duplicateSuppressions"":93,""invalidUnitIds"":9,""invalidTargets"":16,""invalidTiles"":0,""supersededPending"":352,""expiredPending"":0,""revokedPending"":0,""deferredUnitIds"":18059,""pendingUnitIds"":18059,""debugProposals"":226,""debugCoalesced"":0,""debugForwarded"":31,""debugDropped"":195},""telemetrySha256"":""3d47e27bee081c6458896e7297e7f392cdc707eb735e7eabeb88ef0de40d8f0d""}"
"115","separated_lanes_unbounded_d1","24000","{""sha256"":""b28f84e69b4c0bc6cf9e807198ce7add34e23b622dd40d6358d2b01b94f90c64"",""bySideAndMethod"":{""baseline.orderUnits"":952,""baseline.placeBuilding"":7,""baseline.queueForProduction"":116,""baseline.setUnitDebugText"":108,""baseline.unqueueFromProduction"":28,""candidate.orderUnits"":2644,""candidate.pauseProduction"":83,""candidate.placeBuilding"":17,""candidate.queueForProduction"":191,""candidate.resumeProduction"":81,""candidate.setUnitDebugText"":512,""candidate.toggleRepairWrench"":20,""candidate.unqueueFromProduction"":48}}","{""kind"":""unified-intent-d1-telemetry-v1"",""complete"":true,""updates"":24000,""budgetMode"":""separated_lanes_unbounded_d1"",""commandCeiling"":null,""commandCeilingEnforced"":false,""rollingUpdates"":900,""referenceCommandCeiling"":115,""referenceExceededUpdates"":9828,""budgetDenialUpdates"":0,""budgetDeniedUnitIdOccurrences"":0,""budgetDeniedDebugCalls"":0,""maxRollingCommandCalls"":240,""maxPendingUnitIds"":0,""maxForwardedChunkSize"":15,""counters"":{""gameplayNonorderCalls"":440,""productionBatches"":314,""proposedCalls"":2900,""proposedUnitIds"":4481,""forwardedOrderCalls"":2644,""forwardedUnitIds"":4478,""sameUnitConflicts"":0,""duplicateSuppressions"":3,""invalidUnitIds"":0,""invalidTargets"":0,""invalidTiles"":0,""supersededPending"":0,""expiredPending"":0,""revokedPending"":0,""deferredUnitIds"":0,""pendingUnitIds"":0,""debugProposals"":512,""debugCoalesced"":0,""debugForwarded"":512,""debugDropped"":0},""telemetrySha256"":""a293fcd0c069d5d0ab0fe317cadc6e016c3b7db66c40ca4f68e3b399dbb148b5""}"
"116","disabled","13450","{""sha256"":""3b93fa6d40c1e98ba142e3e88be4fb3461f8a47738ea781b2dd50671a4876e80"",""bySideAndMethod"":{""baseline.orderUnits"":547,""baseline.placeBuilding"":4,""baseline.queueForProduction"":82,""baseline.setUnitDebugText"":219,""baseline.toggleRepairWrench"":7,""baseline.unqueueFromProduction"":34,""candidate.orderUnits"":1719,""candidate.placeBuilding"":3,""candidate.queueForProduction"":77,""candidate.setUnitDebugText"":101,""candidate.unqueueFromProduction"":6}}",""
"116","separated_lanes_v2","13090","{""sha256"":""6becdff59406e7512bb6db7252a8f514f6932ff2341be660eb788dbe4433dc32"",""bySideAndMethod"":{""baseline.orderUnits"":843,""baseline.placeBuilding"":4,""baseline.queueForProduction"":56,""baseline.setUnitDebugText"":277,""baseline.unqueueFromProduction"":9,""candidate.orderUnits"":707,""candidate.pauseProduction"":3,""candidate.placeBuilding"":5,""candidate.queueForProduction"":55,""candidate.resumeProduction"":1,""candidate.setUnitDebugText"":48,""candidate.toggleRepairWrench"":1,""candidate.unqueueFromProduction"":6}}","{""kind"":""unified-intent-d1-telemetry-v1"",""complete"":true,""updates"":13090,""budgetMode"":""separated_lanes_v2"",""commandCeiling"":115,""commandCeilingEnforced"":true,""rollingUpdates"":900,""referenceCommandCeiling"":115,""referenceExceededUpdates"":0,""budgetDenialUpdates"":1977,""budgetDeniedUnitIdOccurrences"":9001,""budgetDeniedDebugCalls"":60,""maxRollingCommandCalls"":115,""maxPendingUnitIds"":18,""maxForwardedChunkSize"":12,""counters"":{""gameplayNonorderCalls"":71,""productionBatches"":60,""proposedCalls"":859,""proposedUnitIds"":1296,""forwardedOrderCalls"":707,""forwardedUnitIds"":1022,""sameUnitConflicts"":218,""duplicateSuppressions"":39,""invalidUnitIds"":7,""invalidTargets"":10,""invalidTiles"":0,""supersededPending"":219,""expiredPending"":0,""revokedPending"":0,""deferredUnitIds"":9001,""pendingUnitIds"":9001,""debugProposals"":108,""debugCoalesced"":0,""debugForwarded"":48,""debugDropped"":60},""telemetrySha256"":""b3979e0ed50b9116676df56a37ee785c5caab3f5d6c070a81d0db03242304835""}"
"116","separated_lanes_unbounded_d1","17560","{""sha256"":""c385f84692aa02f0b6df3efafed79229e5f32b29155a413c9611e949b383f235"",""bySideAndMethod"":{""baseline.orderUnits"":746,""baseline.placeBuilding"":4,""baseline.queueForProduction"":86,""baseline.setUnitDebugText"":231,""baseline.toggleRepairWrench"":5,""baseline.unqueueFromProduction"":35,""candidate.orderUnits"":2167,""candidate.placeBuilding"":3,""candidate.queueForProduction"":89,""candidate.setUnitDebugText"":129,""candidate.unqueueFromProduction"":6}}","{""kind"":""unified-intent-d1-telemetry-v1"",""complete"":true,""updates"":17560,""budgetMode"":""separated_lanes_unbounded_d1"",""commandCeiling"":null,""commandCeilingEnforced"":false,""rollingUpdates"":900,""referenceCommandCeiling"":115,""referenceExceededUpdates"":9425,""budgetDenialUpdates"":0,""budgetDeniedUnitIdOccurrences"":0,""budgetDeniedDebugCalls"":0,""maxRollingCommandCalls"":179,""maxPendingUnitIds"":0,""maxForwardedChunkSize"":19,""counters"":{""gameplayNonorderCalls"":98,""productionBatches"":94,""proposedCalls"":2168,""proposedUnitIds"":3435,""forwardedOrderCalls"":2167,""forwardedUnitIds"":3417,""sameUnitConflicts"":0,""duplicateSuppressions"":18,""invalidUnitIds"":0,""invalidTargets"":0,""invalidTiles"":0,""supersededPending"":0,""expiredPending"":0,""revokedPending"":0,""deferredUnitIds"":0,""pendingUnitIds"":0,""debugProposals"":129,""debugCoalesced"":0,""debugForwarded"":129,""debugDropped"":0},""telemetrySha256"":""ec060c538547d37bb10661a2ee765e8296bf86bb08ae0513993207fbbaca708e""}"
"117","disabled","10792","{""sha256"":""b88d06ea082f1bafe25466ecc1124a828bdb884b90e2a0455d2f071e480ecfc1"",""bySideAndMethod"":{""baseline.orderUnits"":459,""baseline.placeBuilding"":4,""baseline.queueForProduction"":53,""baseline.setUnitDebugText"":165,""baseline.toggleRepairWrench"":2,""baseline.unqueueFromProduction"":14,""candidate.orderUnits"":1680,""candidate.placeBuilding"":3,""candidate.queueForProduction"":67,""candidate.setUnitDebugText"":175,""candidate.unqueueFromProduction"":6}}",""
