"group","id","arm","episodes","observedUpdates","publicCalls","publicCallsPerObservedUpdate","budgetDiagnostics"
"maps","hfo-rvr","separated_lanes_v2","16","362267","{""baseline.activateSuperWeapon"":15,""baseline.orderUnits"":9376,""baseline.pauseProduction"":104,""baseline.placeBuilding"":210,""baseline.queueForProduction"":1414,""baseline.quitGame"":460,""baseline.resumeProduction"":101,""baseline.sellObject"":8,""baseline.setUnitDebugText"":3809,""baseline.toggleRepairWrench"":244,""baseline.unqueueFromProduction"":526,""candidate.activateSuperWeapon"":13,""candidate.orderUnits"":19418,""candidate.pauseProduction"":197,""candidate.placeBuilding"":160,""candidate.queueForProduction"":1658,""candidate.quitGame"":39,""candidate.resumeProduction"":180,""candidate.setUnitDebugText"":3497,""candidate.toggleRepairWrench"":113,""candidate.unqueueFromProduction"":170}","{""baseline.activateSuperWeapon"":0.00004140592435965738,""baseline.orderUnits"":0.025881463119743174,""baseline.pauseProduction"":0.00028708107556029116,""baseline.placeBuilding"":0.0005796829410352033,""baseline.queueForProduction"":0.0039031984696370355,""baseline.quitGame"":0.0012697816803628264,""baseline.resumeProduction"":0.0002787998906883597,""baseline.sellObject"":0.000022083159658483935,""baseline.setUnitDebugText"":0.010514344392395665,""baseline.toggleRepairWrench"":0.00067353636958376,""baseline.unqueueFromProduction"":0.0014519677475453188,""candidate.activateSuperWeapon"":0.000035885134445036395,""candidate.orderUnits"":0.05360134928105513,""candidate.pauseProduction"":0.0005437978065901669,""candidate.placeBuilding"":0.00044166319316967873,""candidate.queueForProduction"":0.004576734839220796,""candidate.quitGame"":0.00010765540333510919,""candidate.resumeProduction"":0.0004968710923158885,""candidate.setUnitDebugText"":0.00965310116571479,""candidate.toggleRepairWrench"":0.0003119246301760856,""candidate.unqueueFromProduction"":0.0004692671427427836}","{""counters"":{""debugCoalesced"":0,""debugDropped"":682,""debugForwarded"":3497,""debugProposals"":4179,""deferredUnitIds"":71687,""duplicateSuppressions"":257,""expiredPending"":0,""forwardedOrderCalls"":19418,""forwardedUnitIds"":52956,""gameplayNonorderCalls"":2530,""invalidTargets"":101,""invalidTiles"":0,""invalidUnitIds"":39,""pendingUnitIds"":71687,""productionBatches"":2100,""proposedCalls"":21897,""proposedUnitIds"":61454,""revokedPending"":5680,""sameUnitConflicts"":2416,""supersededPending"":2401},""countersPerObservedUpdate"":{""debugCoalesced"":0,""debugDropped"":0.0018825893608857556,""debugForwarded"":0.00965310116571479,""debugProposals"":0.011535690526600546,""deferredUnitIds"":0.19788443330471725,""duplicateSuppressions"":0.0007094215040287965,""expiredPending"":0,""forwardedOrderCalls"":0.05360134928105513,""forwardedUnitIds"":0.14617947535933443,""gameplayNonorderCalls"":0.006983799241995545,""invalidTargets"":0.0002787998906883597,""invalidTiles"":0,""invalidUnitIds"":0.00010765540333510919,""pendingUnitIds"":0.19788443330471725,""productionBatches"":0.0057968294103520335,""proposedCalls"":0.06044436838022784,""proposedUnitIds"":0.16963731170655896,""revokedPending"":0.015679043357523594,""sameUnitConflicts"":0.006669114216862148,""supersededPending"":0.006627708292502491},""referenceExceededUpdates"":0,""budgetDenialUpdates"":12069,""budgetDeniedUnitIdOccurrences"":71687,""budgetDeniedDebugCalls"":682,""maxRollingCommandCalls"":115,""maxPendingUnitIds"":26}"
"maps","hfo-rvr","separated_lanes_unbounded_d1","16","349943","{""baseline.activateSuperWeapon"":14,""baseline.orderUnits"":7595,""baseline.pauseProduction"":99,""baseline.placeBuilding"":200,""baseline.queueForProduction"":1414,""baseline.resumeProduction"":93,""baseline.sellObject"":15,""baseline.setUnitDebugText"":3621,""baseline.toggleRepairWrench"":288,""baseline.unqueueFromProduction"":498,""candidate.activateSuperWeapon"":9,""candidate.orderUnits"":27201,""candidate.pauseProduction"":187,""candidate.placeBuilding"":161,""candidate.queueForProduction"":1752,""candidate.quitGame"":39,""candidate.resumeProduction"":172,""candidate.setUnitDebugText"":3909,""candidate.toggleRepairWrench"":92,""candidate.unqueueFromProduction"":163}","{""baseline.activateSuperWeapon"":0.000040006515346785045,""baseline.orderUnits"":0.021703534575630887,""baseline.pauseProduction"":0.0002829032156665514,""baseline.placeBuilding"":0.000571521647811215,""baseline.queueForProduction"":0.00404065805002529,""baseline.resumeProduction"":0.00026575756623221496,""baseline.sellObject"":0.00004286412358584112,""baseline.setUnitDebugText"":0.010347399433622046,""baseline.toggleRepairWrench"":0.0008229911728481496,""baseline.unqueueFromProduction"":0.0014230889030499253,""candidate.activateSuperWeapon"":0.000025718474151504674,""candidate.orderUnits"":0.07772980171056429,""candidate.pauseProduction"":0.000534372740703486,""candidate.placeBuilding"":0.00046007492648802805,""candidate.queueForProduction"":0.005006529634826243,""candidate.quitGame"":0.00011144672132318692,""candidate.resumeProduction"":0.0004915086171176448,""candidate.setUnitDebugText"":0.011170390606470196,""candidate.toggleRepairWrench"":0.0002628999579931589,""candidate.unqueueFromProduction"":0.0004657901429661402}","{""counters"":{""debugCoalesced"":0,""debugDropped"":0,""debugForwarded"":3909,""debugProposals"":3909,""deferredUnitIds"":0,""duplicateSuppressions"":141,""expiredPending"":0,""forwardedOrderCalls"":27201,""forwardedUnitIds"":99544,""gameplayNonorderCalls"":2575,""invalidTargets"":0,""invalidTiles"":0,""invalidUnitIds"":0,""pendingUnitIds"":0,""productionBatches"":2176,""proposedCalls"":27688,""proposedUnitIds"":100972,""revokedPending"":0,""sameUnitConflicts"":1287,""supersededPending"":0},""countersPerObservedUpdate"":{""debugCoalesced"":0,""debugDropped"":0,""debugForwarded"":0.011170390606470196,""debugProposals"":0.011170390606470196,""deferredUnitIds"":0,""duplicateSuppressions"":0.00040292276170690654,""expiredPending"":0,""forwardedOrderCalls"":0.07772980171056429,""forwardedUnitIds"":0.2844577545485979,""gameplayNonorderCalls"":0.007358341215569393,""invalidTargets"":0,""invalidTiles"":0,""invalidUnitIds"":0,""pendingUnitIds"":0,""productionBatches"":0.006218155528186019,""proposedCalls"":0.0791214569229846,""proposedUnitIds"":0.28853841911397,""revokedPending"":0,""sameUnitConflicts"":0.0036777418036651683,""supersededPending"":0},""referenceExceededUpdates"":63322,""budgetDenialUpdates"":0,""budgetDeniedUnitIdOccurrences"":0,""budgetDeniedDebugCalls"":0,""maxRollingCommandCalls"":564,""maxPendingUnitIds"":0}"
"maps","hfo-tvt","disabled","16","272904","{""baseline.activateSuperWeapon"":7,""baseline.orderUnits"":6673,""baseline.pauseProduction"":66,""baseline.placeBuilding"":140,""baseline.queueForProduction"":909,""baseline.quitGame"":813,""baseline.resumeProduction"":53,""baseline.sayAll"":7,""baseline.sellObject"":10,""baseline.setUnitDebugText"":2242,""baseline.toggleRepairWrench"":139,""baseline.unqueueFromProduction"":221,""candidate.activateSuperWeapon"":3,""candidate.orderUnits"":12067,""candidate.pauseProduction"":278,""candidate.placeBuilding"":129,""candidate.queueForProduction"":1342,""candidate.resumeProduction"":247,""candidate.setUnitDebugText"":4051,""candidate.toggleRepairWrench"":79,""candidate.unqueueFromProduction"":346}","{""baseline.activateSuperWeapon"":0.000025650045437223347,""baseline.orderUnits"":0.024451821886084486,""baseline.pauseProduction"":0.00024184328555096297,""baseline.placeBuilding"":0.0005130009087444669,""baseline.queueForProduction"":0.0033308416146337174,""baseline.quitGame"":0.002979069562923226,""baseline.resumeProduction"":0.0001942074868818339,""baseline.sayAll"":0.000025650045437223347,""baseline.sellObject"":0.00003664292205317621,""baseline.setUnitDebugText"":0.008215343124322106,""baseline.toggleRepairWrench"":0.0005093366165391493,""baseline.unqueueFromProduction"":0.0008098085773751942,""candidate.activateSuperWeapon"":0.000010992876615952863,""candidate.orderUnits"":0.04421701404156773,""candidate.pauseProduction"":0.0010186732330782985,""candidate.placeBuilding"":0.00047269369448597307,""candidate.queueForProduction"":0.004917480139536247,""candidate.resumeProduction"":0.0009050801747134523,""candidate.setUnitDebugText"":0.014844047723741682,""candidate.toggleRepairWrench"":0.00028947908422009204,""candidate.unqueueFromProduction"":0.0012678451030398968}",""
"maps","hfo-tvt","separated_lanes_v2","16","331338","{""baseline.activateSuperWeapon"":13,""baseline.orderUnits"":10570,""baseline.pauseProduction"":46,""baseline.placeBuilding"":167,""baseline.queueForProduction"":983,""baseline.quitGame"":10,""baseline.resumeProduction"":43,""baseline.sayAll"":6,""baseline.sellObject"":14,""baseline.setUnitDebugText"":3278,""baseline.toggleRepairWrench"":127,""baseline.unqueueFromProduction"":244,""candidate.activateSuperWeapon"":5,""candidate.orderUnits"":12249,""candidate.pauseProduction"":304,""candidate.placeBuilding"":145,""candidate.queueForProduction"":1376,""candidate.resumeProduction"":276,""candidate.setUnitDebugText"":3405,""candidate.toggleRepairWrench"":142,""candidate.unqueueFromProduction"":320}","{""baseline.activateSuperWeapon"":0.00003923485987118894,""baseline.orderUnits"":0.03190095914142054,""baseline.pauseProduction"":0.00013883104262113008,""baseline.placeBuilding"":0.0005040170460375809,""baseline.queueForProduction"":0.002966759019490671,""baseline.quitGame"":0.000030180661439376106,""baseline.resumeProduction"":0.00012977684418931726,""baseline.sayAll"":0.000018108396863625662,""baseline.sellObject"":0.000042252926015126546,""baseline.setUnitDebugText"":0.009893220819827487,""baseline.toggleRepairWrench"":0.00038329440028007656,""baseline.unqueueFromProduction"":0.000736408139120777,""candidate.activateSuperWeapon"":0.000015090330719688053,""candidate.orderUnits"":0.036968292197091794,""candidate.pauseProduction"":0.0009174921077570336,""candidate.placeBuilding"":0.00043761959087095355,""candidate.queueForProduction"":0.004152859014058152,""candidate.resumeProduction"":0.0008329862557267805,""candidate.setUnitDebugText"":0.010276515220107564,""candidate.toggleRepairWrench"":0.0004285653924391407,""candidate.unqueueFromProduction"":0.0009657811660600354}","{""counters"":{""debugCoalesced"":0,""debugDropped"":2322,""debugForwarded"":3405,""debugProposals"":5727,""deferredUnitIds"":121108,""duplicateSuppressions"":176,""expiredPending"":18,""forwardedOrderCalls"":12249,""forwardedUnitIds"":50791,""gameplayNonorderCalls"":2568,""invalidTargets"":112,""invalidTiles"":0,""invalidUnitIds"":30,""pendingUnitIds"":121108,""productionBatches"":2064,""proposedCalls"":16223,""proposedUnitIds"":78253,""revokedPending"":19264,""sameUnitConflicts"":7825,""supersededPending"":6650},""countersPerObservedUpdate"":{""debugCoalesced"":0,""debugDropped"":0.007007949586223132,""debugForwarded"":0.010276515220107564,""debugProposals"":0.017284464806330696,""deferredUnitIds"":0.36551195455999613,""duplicateSuppressions"":0.0005311796413330195,""expiredPending"":0.00005432519059087699,""forwardedOrderCalls"":0.036968292197091794,""forwardedUnitIds"":0.15329059751673518,""gameplayNonorderCalls"":0.007750393857631784,""invalidTargets"":0.00033802340812101237,""invalidTiles"":0,""invalidUnitIds"":0.00009054198431812832,""pendingUnitIds"":0.36551195455999613,""productionBatches"":0.006229288521087228,""proposedCalls"":0.04896208705309986,""proposedUnitIds"":0.23617272996154984,""revokedPending"":0.05814002619681413,""sameUnitConflicts"":0.023616367576311803,""supersededPending"":0.02007013985718511},""referenceExceededUpdates"":0,""budgetDenialUpdates"":11213,""budgetDeniedUnitIdOccurrences"":121108,""budgetDeniedDebugCalls"":2322,""maxRollingCommandCalls"":115,""maxPendingUnitIds"":33}"
"maps","hfo-tvt","separated_lanes_unbounded_d1","16","249851","{""baseline.activateSuperWeapon"":2,""baseline.orderUnits"":5776,""baseline.pauseProduction"":46,""baseline.placeBuilding"":128,""baseline.queueForProduction"":898,""baseline.resumeProduction"":35,""baseline.sayAll"":6,""baseline.sellObject"":11,""baseline.setUnitDebugText"":2118,""baseline.toggleRepairWrench"":142,""baseline.unqueueFromProduction"":218,""candidate.activateSuperWeapon"":2,""candidate.orderUnits"":12226,""candidate.pauseProduction"":255,""candidate.placeBuilding"":127,""candidate.queueForProduction"":1251,""candidate.resumeProduction"":226,""candidate.setUnitDebugText"":4473,""candidate.toggleRepairWrench"":51,""candidate.unqueueFromProduction"":276}","{""baseline.activateSuperWeapon"":0.00000800477084342268,""baseline.orderUnits"":0.0231177781958047,""baseline.pauseProduction"":0.00018410972939872163,""baseline.placeBuilding"":0.0005123053339790516,""baseline.queueForProduction"":0.003594142108696783,""baseline.resumeProduction"":0.0001400834897598969,""baseline.sayAll"":0.00002401431253026804,""baseline.sellObject"":0.00004402623963882474,""baseline.setUnitDebugText"":0.008477052323184619,""baseline.toggleRepairWrench"":0.0005683387298830103,""baseline.unqueueFromProduction"":0.0008725200219330721,""candidate.activateSuperWeapon"":0.00000800477084342268,""candidate.orderUnits"":0.04893316416584284,""candidate.pauseProduction"":0.0010206082825363917,""candidate.placeBuilding"":0.0005083029485573402,""candidate.queueForProduction"":0.0050069841625608865,""candidate.resumeProduction"":0.0009045391053067629,""candidate.setUnitDebugText"":0.017902669991314825,""candidate.toggleRepairWrench"":0.00020412165650727834,""candidate.unqueueFromProduction"":0.0011046583763923297}","{""counters"":{""debugCoalesced"":0,""debugDropped"":0,""debugForwarded"":4473,""debugProposals"":4473,""deferredUnitIds"":0,""duplicateSuppressions"":144,""expiredPending"":0,""forwardedOrderCalls"":12226,""forwardedUnitIds"":48962,""gameplayNonorderCalls"":2188,""invalidTargets"":0,""invalidTiles"":0,""invalidUnitIds"":0,""pendingUnitIds"":0,""productionBatches"":1815,""proposedCalls"":12553,""proposedUnitIds"":49773,""revokedPending"":0,""sameUnitConflicts"":667,""supersededPending"":0},""countersPerObservedUpdate"":{""debugCoalesced"":0,""debugDropped"":0,""debugForwarded"":0.017902669991314825,""debugProposals"":0.017902669991314825,""deferredUnitIds"":0,""duplicateSuppressions"":0.000576343500726433,""expiredPending"":0,""forwardedOrderCalls"":0.04893316416584284,""forwardedUnitIds"":0.19596479501783062,""gameplayNonorderCalls"":0.008757219302704412,""invalidTargets"":0,""invalidTiles"":0,""invalidUnitIds"":0,""pendingUnitIds"":0,""productionBatches"":0.007264329540406082,""proposedCalls"":0.05024194419874245,""proposedUnitIds"":0.19921072959483851,""revokedPending"":0,""sameUnitConflicts"":0.0026695910762814636,""supersededPending"":0},""referenceExceededUpdates"":34122,""budgetDenialUpdates"":0,""budgetDeniedUnitIdOccurrences"":0,""budgetDeniedDebugCalls"":0,""maxRollingCommandCalls"":864,""maxPendingUnitIds"":0}"
"maps","pacific-heights","disabled","8","110204","{""baseline.orderUnits"":4212,""baseline.placeBuilding"":45,""baseline.queueForProduction"":537,""baseline.setUnitDebugText"":1234,""baseline.toggleRepairWrench"":28,""baseline.unqueueFromProduction"":150,""candidate.orderUnits"":12537,""candidate.pauseProduction"":90,""candidate.placeBuilding"":43,""candidate.queueForProduction"":792,""candidate.resumeProduction"":84,""candidate.setUnitDebugText"":2006,""candidate.toggleRepairWrench"":37,""candidate.unqueueFromProduction"":96}","{""baseline.orderUnits"":0.03822002831113208,""baseline.placeBuilding"":0.0004083336358026932,""baseline.queueForProduction"":0.004872781387245472,""baseline.setUnitDebugText"":0.011197415701789408,""baseline.toggleRepairWrench"":0.0002540742622772313,""baseline.unqueueFromProduction"":0.0013611121193423106,""candidate.orderUnits"":0.11376175093463033,""candidate.pauseProduction"":0.0008166672716053864,""candidate.placeBuilding"":0.0003901854742114624,""candidate.queueForProduction"":0.0071866719901274,""candidate.resumeProduction"":0.000762222786831694,""candidate.setUnitDebugText"":0.0182026060760045,""candidate.toggleRepairWrench"":0.00033574098943776995,""candidate.unqueueFromProduction"":0.0008711117563790788}",""
"maps","pacific-heights","separated_lanes_v2","8","125223","{""baseline.orderUnits"":5485,""baseline.placeBuilding"":47,""baseline.queueForProduction"":575,""baseline.quitGame"":873,""baseline.setUnitDebugText"":1129,""baseline.toggleRepairWrench"":41,""baseline.unqueueFromProduction"":118,""candidate.activateSuperWeapon"":3,""candidate.orderUnits"":9284,""candidate.pauseProduction"":38,""candidate.placeBuilding"":62,""candidate.queueForProduction"":826,""candidate.resumeProduction"":35,""candidate.setUnitDebugText"":960,""candidate.toggleRepairWrench"":43,""candidate.unqueueFromProduction"":93}","{""baseline.orderUnits"":0.04380185748624454,""baseline.placeBuilding"":0.0003753304105475831,""baseline.queueForProduction"":0.004591808214145963,""baseline.quitGame"":0.006971562732085958,""baseline.setUnitDebugText"":0.0090159156065579,""baseline.toggleRepairWrench"":0.00032741589005214696,""baseline.unqueueFromProduction"":0.0009423189030769108,""candidate.activateSuperWeapon"":0.00002395726024771807,""candidate.orderUnits"":0.07413973471327152,""candidate.pauseProduction"":0.0003034586298044289,""candidate.placeBuilding"":0.0004951167117861735,""candidate.queueForProduction"":0.006596232321538375,""candidate.resumeProduction"":0.00027950136955671084,""candidate.setUnitDebugText"":0.007666323279269783,""candidate.toggleRepairWrench"":0.00034338739688395903,""candidate.unqueueFromProduction"":0.0007426750676792602}","{""counters"":{""debugCoalesced"":0,""debugDropped"":1639,""debugForwarded"":960,""debugProposals"":2599,""deferredUnitIds"":185663,""duplicateSuppressions"":674,""expiredPending"":31,""forwardedOrderCalls"":9284,""forwardedUnitIds"":24243,""gameplayNonorderCalls"":1100,""invalidTargets"":301,""invalidTiles"":0,""invalidUnitIds"":50,""pendingUnitIds"":185663,""productionBatches"":967,""proposedCalls"":13384,""proposedUnitIds"":39508,""revokedPending"":10713,""sameUnitConflicts"":3488,""supersededPending"":3438},""countersPerObservedUpdate"":{""debugCoalesced"":0,""debugDropped"":0.013088649848669972,""debugForwarded"":0.007666323279269783,""debugProposals"":0.020754973127939755,""deferredUnitIds"":1.4826589364573601,""duplicateSuppressions"":0.00538239780232066,""expiredPending"":0.00024755835589308675,""forwardedOrderCalls"":0.07413973471327152,""forwardedUnitIds"":0.19359862006180972,""gameplayNonorderCalls"":0.008784328757496625,""invalidTargets"":0.0024037117781877133,""invalidTiles"":0,""invalidUnitIds"":0.0003992876707953012,""pendingUnitIds"":1.4826589364573601,""productionBatches"":0.0077222235531811245,""proposedCalls"":0.10688132371848622,""proposedUnitIds"":0.3155011459556152,""revokedPending"":0.08555137634460123,""sameUnitConflicts"":0.027854307914680212,""supersededPending"":0.02745502024388491},""referenceExceededUpdates"":0,""budgetDenialUpdates"":28844,""budgetDeniedUnitIdOccurrences"":185663,""budgetDeniedDebugCalls"":1639,""maxRollingCommandCalls"":115,""maxPendingUnitIds"":40}"
"maps","pacific-heights","separated_lanes_unbounded_d1","8","114705","{""baseline.orderUnits"":4402,""baseline.placeBuilding"":45,""baseline.queueForProduction"":543,""baseline.quitGame"":5,""baseline.setUnitDebugText"":1234,""baseline.toggleRepairWrench"":37,""baseline.unqueueFromProduction"":152,""candidate.orderUnits"":12351,""candidate.pauseProduction"":90,""candidate.placeBuilding"":43,""candidate.queueForProduction"":805,""candidate.resumeProduction"":84,""candidate.setUnitDebugText"":2027,""candidate.toggleRepairWrench"":37,""candidate.unqueueFromProduction"":96}","{""baseline.orderUnits"":0.038376705461836885,""baseline.placeBuilding"":0.00039231071008238524,""baseline.queueForProduction"":0.0047338825683274485,""baseline.quitGame"":0.000043590078898042804,""baseline.setUnitDebugText"":0.010758031472036965,""baseline.toggleRepairWrench"":0.00032256658384551673,""baseline.unqueueFromProduction"":0.0013251383985005013,""candidate.orderUnits"":0.10767621289394534,""candidate.pauseProduction"":0.0007846214201647705,""candidate.placeBuilding"":0.00037487467852316813,""candidate.queueForProduction"":0.007018002702584892,""candidate.resumeProduction"":0.0007323133254871191,""candidate.setUnitDebugText"":0.017671417985266554,""candidate.toggleRepairWrench"":0.00032256658384551673,""candidate.unqueueFromProduction"":0.0008369295148424219}","{""counters"":{""debugCoalesced"":0,""debugDropped"":0,""debugForwarded"":2027,""debugProposals"":2027,""deferredUnitIds"":0,""duplicateSuppressions"":58,""expiredPending"":0,""forwardedOrderCalls"":12351,""forwardedUnitIds"":22616,""gameplayNonorderCalls"":1155,""invalidTargets"":0,""invalidTiles"":0,""invalidUnitIds"":0,""pendingUnitIds"":0,""productionBatches"":969,""proposedCalls"":12658,""proposedUnitIds"":22674,""revokedPending"":0,""sameUnitConflicts"":0,""supersededPending"":0},""countersPerObservedUpdate"":{""debugCoalesced"":0,""debugDropped"":0,""debugForwarded"":0.017671417985266554,""debugProposals"":0.017671417985266554,""deferredUnitIds"":0,""duplicateSuppressions"":0.0005056449152172966,""expiredPending"":0,""forwardedOrderCalls"":0.10767621289394534,""forwardedUnitIds"":0.19716664487162722,""gameplayNonorderCalls"":0.010069308225447889,""invalidTargets"":0,""invalidTiles"":0,""invalidUnitIds"":0,""pendingUnitIds"":0,""productionBatches"":0.008447757290440696,""proposedCalls"":0.11035264373828517,""proposedUnitIds"":0.1976722897868445,""revokedPending"":0,""sameUnitConflicts"":0,""supersededPending"":0},""referenceExceededUpdates"":54322,""budgetDenialUpdates"":0,""budgetDeniedUnitIdOccurrences"":0,""budgetDeniedDebugCalls"":0,""maxRollingCommandCalls"":272,""maxPendingUnitIds"":0}"
"maps","peak","disabled","8","150357","{""baseline.orderUnits"":6850,""baseline.placeBuilding"":58,""baseline.queueForProduction"":637,""baseline.quitGame"":99,""baseline.setUnitDebugText"":1109,""baseline.toggleRepairWrench"":84,""baseline.unqueueFromProduction"":188,""candidate.activateSuperWeapon"":13,""candidate.orderUnits"":29293,""candidate.pauseProduction"":119,""candidate.placeBuilding"":92,""candidate.queueForProduction"":745,""candidate.resumeProduction"":109,""candidate.setUnitDebugText"":3556,""candidate.toggleRepairWrench"":53,""candidate.unqueueFromProduction"":160}","{""baseline.orderUnits"":0.04555823806008367,""baseline.placeBuilding"":0.00038574858503428506,""baseline.queueForProduction"":0.0042365835977041305,""baseline.quitGame"":0.0006584329296274866,""baseline.setUnitDebugText"":0.007375778979362451,""baseline.toggleRepairWrench"":0.0005586703645324129,""baseline.unqueueFromProduction"":0.001250357482524924,""candidate.activateSuperWeapon"":0.00008646088974906389,""candidate.orderUnits"":0.19482298795533298,""candidate.pauseProduction"":0.0007914496830875849,""candidate.placeBuilding"":0.0006118770659164521,""candidate.queueForProduction"":0.004954874066388662,""candidate.resumeProduction"":0.0007249413063575357,""candidate.setUnitDebugText"":0.02365037876520548,""candidate.toggleRepairWrench"":0.0003524943966692605,""candidate.unqueueFromProduction"":0.0010641340276807865}",""
"maps","peak","separated_lanes_v2","8","130273","{""baseline.orderUnits"":6015,""baseline.placeBuilding"":48,""baseline.queueForProduction"":582,""baseline.quitGame"":122,""baseline.setUnitDebugText"":1056,""baseline.toggleRepairWrench"":77,""baseline.unqueueFromProduction"":155,""candidate.activateSuperWeapon"":11,""candidate.orderUnits"":7907,""candidate.pauseProduction"":96,""candidate.placeBuilding"":76,""candidate.queueForProduction"":645,""candidate.resumeProduction"":87,""candidate.setUnitDebugText"":1156,""candidate.toggleRepairWrench"":36,""candidate.unqueueFromProduction"":113}","{""baseline.orderUnits"":0.04617226900432169,""baseline.placeBuilding"":0.00036845700951079654,""baseline.queueForProduction"":0.004467541240318409,""baseline.quitGame"":0.0009364948991732746,""baseline.setUnitDebugText"":0.008106054209237525,""baseline.toggleRepairWrench"":0.0005910664527569028,""baseline.unqueueFromProduction"":0.0011898090932119473,""candidate.activateSuperWeapon"":0.00008443806467955755,""candidate.orderUnits"":0.06069561612920559,""candidate.pauseProduction"":0.0007369140190215931,""candidate.placeBuilding"":0.0005833902650587612,""candidate.queueForProduction"":0.004951141065301329,""candidate.resumeProduction"":0.0006678283297383188,""candidate.setUnitDebugText"":0.008873672979051684,""candidate.toggleRepairWrench"":0.00027634275713309743,""candidate.unqueueFromProduction"":0.0008674092098900002}","{""counters"":{""debugCoalesced"":0,""debugDropped"":1650,""debugForwarded"":1156,""debugProposals"":2806,""deferredUnitIds"":339339,""duplicateSuppressions"":8258,""expiredPending"":44,""forwardedOrderCalls"":7907,""forwardedUnitIds"":46844,""gameplayNonorderCalls"":1064,""invalidTargets"":1270,""invalidTiles"":0,""invalidUnitIds"":109,""pendingUnitIds"":339339,""productionBatches"":890,""proposedCalls"":22235,""proposedUnitIds"":128987,""revokedPending"":1536,""sameUnitConflicts"":70851,""supersededPending"":67854},""countersPerObservedUpdate"":{""debugCoalesced"":0,""debugDropped"":0.012665709701933632,""debugForwarded"":0.008873672979051684,""debugProposals"":0.021539382680985316,""deferredUnitIds"":2.604829857299671,""duplicateSuppressions"":0.06338995801125329,""expiredPending"":0.0003377522587182302,""forwardedOrderCalls"":0.06069561612920559,""forwardedUnitIds"":0.3595833365317449,""gameplayNonorderCalls"":0.008167463710822657,""invalidTargets"":0.009748758376639825,""invalidTiles"":0,""invalidUnitIds"":0.0008367044590974339,""pendingUnitIds"":2.604829857299671,""productionBatches"":0.006831807051346019,""proposedCalls"":0.17068003346817837,""proposedUnitIds"":0.99012842262019,""revokedPending"":0.01179062430434549,""sameUnitConflicts"":0.5438655746010301,""supersededPending"":0.5208600400696998},""referenceExceededUpdates"":0,""budgetDenialUpdates"":29583,""budgetDeniedUnitIdOccurrences"":339339,""budgetDeniedDebugCalls"":1650,""maxRollingCommandCalls"":115,""maxPendingUnitIds"":56}"
"maps","peak","separated_lanes_unbounded_d1","8","148684","{""baseline.orderUnits"":6780,""baseline.placeBuilding"":57,""baseline.queueForProduction"":612,""baseline.quitGame"":99,""baseline.setUnitDebugText"":1100,""baseline.toggleRepairWrench"":101,""baseline.unqueueFromProduction"":175,""candidate.activateSuperWeapon"":11,""candidate.orderUnits"":21227,""candidate.pauseProduction"":122,""candidate.placeBuilding"":90,""candidate.queueForProduction"":679,""candidate.quitGame"":25,""candidate.resumeProduction"":111,""candidate.setUnitDebugText"":2987,""candidate.toggleRepairWrench"":86,""candidate.unqueueFromProduction"":160}","{""baseline.orderUnits"":0.0456000645664631,""baseline.placeBuilding"":0.00038336337467380485,""baseline.queueForProduction"":0.004116112022813484,""baseline.quitGame"":0.00066584165074924,""baseline.setUnitDebugText"":0.0073982405638804444,""baseline.toggleRepairWrench"":0.0006792929972290226,""baseline.unqueueFromProduction"":0.0011769928169809798,""candidate.activateSuperWeapon"":0.00007398240563880444,""candidate.orderUnits"":0.1427658658631729,""candidate.pauseProduction"":0.0008205321352667402,""candidate.placeBuilding"":0.0006053105915902182,""candidate.queueForProduction"":0.004566732129886201,""candidate.quitGame"":0.00016814183099728283,""candidate.resumeProduction"":0.0007465497296279358,""candidate.setUnitDebugText"":0.020089585967555352,""candidate.toggleRepairWrench"":0.0005784078986306529,""candidate.unqueueFromProduction"":0.00107610771838261}","{""counters"":{""debugCoalesced"":0,""debugDropped"":0,""debugForwarded"":2987,""debugProposals"":2987,""deferredUnitIds"":0,""duplicateSuppressions"":3068,""expiredPending"":0,""forwardedOrderCalls"":21227,""forwardedUnitIds"":110800,""gameplayNonorderCalls"":1284,""invalidTargets"":0,""invalidTiles"":0,""invalidUnitIds"":0,""pendingUnitIds"":0,""productionBatches"":1010,""proposedCalls"":21909,""proposedUnitIds"":114603,""revokedPending"":0,""sameUnitConflicts"":735,""supersededPending"":0},""countersPerObservedUpdate"":{""debugCoalesced"":0,""debugDropped"":0,""debugForwarded"":0.020089585967555352,""debugProposals"":0.020089585967555352,""deferredUnitIds"":0,""duplicateSuppressions"":0.020634365499986547,""expiredPending"":0,""forwardedOrderCalls"":0.1427658658631729,""forwardedUnitIds"":0.7452045949799575,""gameplayNonorderCalls"":0.008635764440020446,""invalidTargets"":0,""invalidTiles"":0,""invalidUnitIds"":0,""pendingUnitIds"":0,""productionBatches"":0.006792929972290226,""proposedCalls"":0.14735277501277877,""proposedUnitIds"":0.7707823303112642,""revokedPending"":0,""sameUnitConflicts"":0.004943369831320115,""supersededPending"":0},""referenceExceededUpdates"":62897,""budgetDenialUpdates"":0,""budgetDeniedUnitIdOccurrences"":0,""budgetDeniedDebugCalls"":0,""maxRollingCommandCalls"":1031,""maxPendingUnitIds"":0}"
