"jobLabel","rawJobId","state","exitCode","account","partition","allocatedCpus","restarts","elapsedSeconds","totalCpu","maxRss","requestedMemory","timeLimitMinutes","requestedTres","allocatedTres"
"27365752_15.batch","27365771.batch","COMPLETED","0:0","pi_jss233","","1","","1972","32:14.495","747516K","","","","cpu=1,mem=8G,node=1"
"27365752_15.extern","27365771.extern","COMPLETED","0:0","pi_jss233","","1","","1972","00:00:00","","","","","billing=1,cpu=1,mem=8G,node=1"
"27365752_16","27365772","COMPLETED","0:0","pi_jss233","day","1","0","349","05:16.780","","8G","360","billing=1,cpu=1,mem=8G,node=1","billing=1,cpu=1,mem=8G,node=1"
"27365752_16.batch","27365772.batch","COMPLETED","0:0","pi_jss233","","1","","349","05:16.780","852816K","","","","cpu=1,mem=8G,node=1"
"27365752_16.extern","27365772.extern","COMPLETED","0:0","pi_jss233","","1","","349","00:00:00","","","","","billing=1,cpu=1,mem=8G,node=1"
"27365752_17","27365773","COMPLETED","0:0","pi_jss233","day","1","0","1535","24:56.621","","8G","360","billing=1,cpu=1,mem=8G,node=1","billing=1,cpu=1,mem=8G,node=1"
"27365752_17.batch","27365773.batch","COMPLETED","0:0","pi_jss233","","1","","1535","24:56.621","901376K","","","","cpu=1,mem=8G,node=1"
"27365752_17.extern","27365773.extern","COMPLETED","0:0","pi_jss233","","1","","1535","00:00:00","","","","","billing=1,cpu=1,mem=8G,node=1"
"27365752_18","27365774","COMPLETED","0:0","pi_jss233","day","1","0","561","08:48.859","","8G","360","billing=1,cpu=1,mem=8G,node=1","billing=1,cpu=1,mem=8G,node=1"
"27365752_18.batch","27365774.batch","COMPLETED","0:0","pi_jss233","","1","","561","08:48.859","879900K","","","","cpu=1,mem=8G,node=1"
"27365752_18.extern","27365774.extern","COMPLETED","0:0","pi_jss233","","1","","561","00:00:00","","","","","billing=1,cpu=1,mem=8G,node=1"
"27365752_19","27365775","COMPLETED","0:0","pi_jss233","day","1","0","1424","23:06.225","","8G","360","billing=1,cpu=1,mem=8G,node=1","billing=1,cpu=1,mem=8G,node=1"
"27365752_19.batch","27365775.batch","COMPLETED","0:0","pi_jss233","","1","","1424","23:06.225","901556K","","","","cpu=1,mem=8G,node=1"
"27365752_19.extern","27365775.extern","COMPLETED","0:0","pi_jss233","","1","","1424","00:00:00","","","","","billing=1,cpu=1,mem=8G,node=1"
"27365752_20","27365776","COMPLETED","0:0","pi_jss233","day","1","0","957","15:24.030","","8G","360","billing=1,cpu=1,mem=8G,node=1","billing=1,cpu=1,mem=8G,node=1"
"27365752_20.batch","27365776.batch","COMPLETED","0:0","pi_jss233","","1","","957","15:24.030","890780K","","","","cpu=1,mem=8G,node=1"
"27365752_20.extern","27365776.extern","COMPLETED","0:0","pi_jss233","","1","","957","00:00:00","","","","","billing=1,cpu=1,mem=8G,node=1"
"27365752_21","27365777","COMPLETED","0:0","pi_jss233","day","1","0","1371","22:04.171","","8G","360","billing=1,cpu=1,mem=8G,node=1","billing=1,cpu=1,mem=8G,node=1"
"27365752_21.batch","27365777.batch","COMPLETED","0:0","pi_jss233","","1","","1371","22:04.171","884340K","","","","cpu=1,mem=8G,node=1"
"27365752_21.extern","27365777.extern","COMPLETED","0:0","pi_jss233","","1","","1371","00:00:00","","","","","billing=1,cpu=1,mem=8G,node=1"
"27365752_22","27365778","COMPLETED","0:0","pi_jss233","day","1","0","655","10:11.826","","8G","360","billing=1,cpu=1,mem=8G,node=1","billing=1,cpu=1,mem=8G,node=1"
"27365752_22.batch","27365778.batch","COMPLETED","0:0","pi_jss233","","1","","655","10:11.826","872860K","","","","cpu=1,mem=8G,node=1"
"27365752_22.extern","27365778.extern","COMPLETED","0:0","pi_jss233","","1","","655","00:00:00","","","","","billing=1,cpu=1,mem=8G,node=1"
