"contrast","endpoint","group","id","transition","count"
"unbounded_minus_v2","v6","strata","pinned_supalosa__south-pacific","D->D","6"
"unbounded_minus_v2","v6","strata","pinned_supalosa__south-pacific","D->L","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__south-pacific","L->W","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__south-pacific","L->D","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__south-pacific","L->L","2"
"unbounded_minus_v2","v6","strata","pinned_supalosa__south-pacific-2","W->W","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__south-pacific-2","W->D","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__south-pacific-2","W->L","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__south-pacific-2","D->W","1"
"unbounded_minus_v2","v6","strata","pinned_supalosa__south-pacific-2","D->D","5"
"unbounded_minus_v2","v6","strata","pinned_supalosa__south-pacific-2","D->L","1"
"unbounded_minus_v2","v6","strata","pinned_supalosa__south-pacific-2","L->W","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__south-pacific-2","L->D","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__south-pacific-2","L->L","1"
"unbounded_minus_v2","v6","strata","pinned_supalosa__tour-of-egypt","W->W","1"
"unbounded_minus_v2","v6","strata","pinned_supalosa__tour-of-egypt","W->D","1"
"unbounded_minus_v2","v6","strata","pinned_supalosa__tour-of-egypt","W->L","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__tour-of-egypt","D->W","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__tour-of-egypt","D->D","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__tour-of-egypt","D->L","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__tour-of-egypt","L->W","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__tour-of-egypt","L->D","0"
"unbounded_minus_v2","v6","strata","pinned_supalosa__tour-of-egypt","L->L","6"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-bvb","W->W","1"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-bvb","W->D","0"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-bvb","W->L","0"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-bvb","D->W","2"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-bvb","D->D","1"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-bvb","D->L","1"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-bvb","L->W","0"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-bvb","L->D","1"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-bvb","L->L","2"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-corners","W->W","1"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-corners","W->D","0"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-corners","W->L","0"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-corners","D->W","1"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-corners","D->D","4"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-corners","D->L","0"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-corners","L->W","0"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-corners","L->D","0"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-corners","L->L","2"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-corners-b","W->W","1"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-corners-b","W->D","0"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-corners-b","W->L","1"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-corners-b","D->W","1"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-corners-b","D->D","5"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-corners-b","D->L","0"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-corners-b","L->W","0"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-corners-b","L->D","0"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-corners-b","L->L","0"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-corners-b-golden","W->W","0"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-corners-b-golden","W->D","1"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-corners-b-golden","W->L","0"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-corners-b-golden","D->W","0"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-corners-b-golden","D->D","3"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-corners-b-golden","D->L","0"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-corners-b-golden","L->W","2"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-corners-b-golden","L->D","0"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-corners-b-golden","L->L","2"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-golden","W->W","2"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-golden","W->D","0"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-golden","W->L","0"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-golden","D->W","1"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-golden","D->D","2"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-golden","D->L","0"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-golden","L->W","1"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-golden","L->D","1"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-golden","L->L","1"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-le","W->W","2"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-le","W->D","0"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-le","W->L","0"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-le","D->W","0"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-le","D->D","2"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-le","D->L","2"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-le","L->W","0"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-le","L->D","0"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-le","L->L","2"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-lvl","W->W","2"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-lvl","W->D","0"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-lvl","W->L","0"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-lvl","D->W","0"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-lvl","D->D","3"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-lvl","D->L","1"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-lvl","L->W","0"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-lvl","L->D","0"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-lvl","L->L","2"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-original","W->W","2"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-original","W->D","0"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-original","W->L","0"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-original","D->W","2"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-original","D->D","1"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-original","D->L","0"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-original","L->W","0"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-original","L->D","1"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-original","L->L","2"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-rvr","W->W","0"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-rvr","W->D","0"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-rvr","W->L","0"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-rvr","D->W","0"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-rvr","D->D","5"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-rvr","D->L","1"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-rvr","L->W","0"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-rvr","L->D","0"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-rvr","L->L","2"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-tvt","W->W","1"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-tvt","W->D","1"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-tvt","W->L","0"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-tvt","D->W","3"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-tvt","D->D","1"
