"contrast","endpoint","group","id","cases","reference","treatment","referenceW","referenceD","referenceL","treatmentW","treatmentD","treatmentL","referenceScore","treatmentScore","referenceWinRate","treatmentWinRate","referenceWilsonLower90","treatmentWilsonLower90","pairedScore","pairedLiteralWin","referenceStatuses","treatmentStatuses","referenceTimes","treatmentTimes"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-original","8","separated_lanes_v2","separated_lanes_unbounded_d1","2","3","3","3","2","3","0.4375","0.5","0.25","0.375","0.10887074683495994","0.19535795103474965","0.0625","0.125","{""baseline_win"":3,""candidate_win"":2,""tick_cap_draw"":3}","{""baseline_win"":3,""candidate_win"":3,""tick_cap_draw"":2}","{""all"":{""n"":8,""min"":7582,""median"":22249,""p90"":24000,""max"":24000,""mean"":17237.5},""W"":{""n"":2,""min"":9717,""median"":22249,""p90"":22249,""max"":22249,""mean"":15983},""D"":{""n"":3,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":3,""min"":7582,""median"":11791,""p90"":14561,""max"":14561,""mean"":11311.333333333334}}","{""all"":{""n"":8,""min"":7582,""median"":10958,""p90"":24000,""max"":24000,""mean"":13604.375},""W"":{""n"":3,""min"":9910,""median"":10252,""p90"":10958,""max"":10958,""mean"":10373.333333333334},""D"":{""n"":2,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":3,""min"":7582,""median"":10046,""p90"":12087,""max"":12087,""mean"":9905}}"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-rvr","8","separated_lanes_v2","separated_lanes_unbounded_d1","1","6","1","2","5","1","0.5","0.5625","0.125","0.25","0.038176543007959585","0.10887074683495994","0.0625","0.125","{""baseline_win"":1,""candidate_win"":1,""tick_cap_draw"":6}","{""baseline_win"":1,""candidate_win"":2,""tick_cap_draw"":5}","{""all"":{""n"":8,""min"":18450,""median"":24000,""p90"":24000,""max"":24000,""mean"":22755.5},""W"":{""n"":1,""min"":18450,""median"":18450,""p90"":18450,""max"":18450,""mean"":18450},""D"":{""n"":6,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":1,""min"":19594,""median"":19594,""p90"":19594,""max"":19594,""mean"":19594}}","{""all"":{""n"":8,""min"":12464,""median"":24000,""p90"":24000,""max"":24000,""mean"":21656},""W"":{""n"":2,""min"":12464,""median"":21190,""p90"":21190,""max"":21190,""mean"":16827},""D"":{""n"":5,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":1,""min"":19594,""median"":19594,""p90"":19594,""max"":19594,""mean"":19594}}"
"unbounded_minus_v2","v6","strata","pinned_supalosa__hfo-tvt","8","separated_lanes_v2","separated_lanes_unbounded_d1","3","5","0","3","5","0","0.6875","0.6875","0.375","0.375","0.19535795103474965","0.19535795103474965","0","0","{""candidate_win"":3,""tick_cap_draw"":5}","{""candidate_win"":3,""tick_cap_draw"":5}","{""all"":{""n"":8,""min"":6718,""median"":24000,""p90"":24000,""max"":24000,""mean"":20999.875},""W"":{""n"":3,""min"":6718,""median"":20525,""p90"":20756,""max"":20756,""mean"":15999.666666666666},""D"":{""n"":5,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":null}","{""all"":{""n"":8,""min"":6718,""median"":24000,""p90"":24000,""max"":24000,""mean"":18566},""W"":{""n"":3,""min"":6718,""median"":9808,""p90"":12002,""max"":12002,""mean"":9509.333333333334},""D"":{""n"":5,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":null}"
"unbounded_minus_v2","v6","strata","pinned_supalosa__pacific-heights","8","separated_lanes_v2","separated_lanes_unbounded_d1","4","2","2","6","2","0","0.625","0.875","0.5","0.75","0.2936454286357453","0.5237063285891094","0.25","0.25","{""baseline_win"":2,""candidate_win"":4,""tick_cap_draw"":2}","{""candidate_win"":6,""tick_cap_draw"":2}","{""all"":{""n"":8,""min"":9045,""median"":16698,""p90"":24000,""max"":24000,""mean"":15652.875},""W"":{""n"":4,""min"":9507,""median"":16698,""p90"":18411,""max"":18411,""mean"":13772},""D"":{""n"":2,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":2,""min"":9045,""median"":13090,""p90"":13090,""max"":13090,""mean"":11067.5}}","{""all"":{""n"":8,""min"":9449,""median"":10163,""p90"":24000,""max"":24000,""mean"":14338.125},""W"":{""n"":6,""min"":9449,""median"":9880,""p90"":17560,""max"":17560,""mean"":11117.5},""D"":{""n"":2,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":null}"
"unbounded_minus_v2","v6","strata","pinned_supalosa__peak","8","separated_lanes_v2","separated_lanes_unbounded_d1","5","3","0","3","4","1","0.8125","0.625","0.625","0.375","0.4027757419118244","0.19535795103474965","-0.1875","-0.25","{""candidate_win"":5,""tick_cap_draw"":3}","{""baseline_win"":1,""candidate_win"":3,""tick_cap_draw"":4}","{""all"":{""n"":8,""min"":8420,""median"":18713,""p90"":24000,""max"":24000,""mean"":16284.125},""W"":{""n"":5,""min"":8420,""median"":10078,""p90"":18713,""max"":18713,""mean"":11654.6},""D"":{""n"":3,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":null}","{""all"":{""n"":8,""min"":9441,""median"":24000,""p90"":24000,""max"":24000,""mean"":18585.5},""W"":{""n"":3,""min"":9441,""median"":9458,""p90"":11520,""max"":11520,""mean"":10139.666666666666},""D"":{""n"":4,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":1,""min"":22265,""median"":22265,""p90"":22265,""max"":22265,""mean"":22265}}"
"unbounded_minus_v2","v6","strata","pinned_supalosa__south-pacific","8","separated_lanes_v2","separated_lanes_unbounded_d1","0","6","2","0","6","2","0.375","0.375","0","0","0","0","0","0","{""baseline_win"":2,""engine_nonliteral_termination_draw"":1,""tick_cap_draw"":5}","{""baseline_win"":2,""engine_nonliteral_termination_draw"":1,""tick_cap_draw"":5}","{""all"":{""n"":8,""min"":9438,""median"":24000,""p90"":24000,""max"":24000,""mean"":19763.75},""W"":null,""D"":{""n"":6,""min"":17832,""median"":24000,""p90"":24000,""max"":24000,""mean"":22972},""L"":{""n"":2,""min"":9438,""median"":10840,""p90"":10840,""max"":10840,""mean"":10139}}","{""all"":{""n"":8,""min"":9438,""median"":24000,""p90"":24000,""max"":24000,""mean"":19763.75},""W"":null,""D"":{""n"":6,""min"":17832,""median"":24000,""p90"":24000,""max"":24000,""mean"":22972},""L"":{""n"":2,""min"":9438,""median"":10840,""p90"":10840,""max"":10840,""mean"":10139}}"
"unbounded_minus_v2","v6","strata","pinned_supalosa__south-pacific-2","8","separated_lanes_v2","separated_lanes_unbounded_d1","0","7","1","1","5","2","0.4375","0.4375","0","0.125","0","0.038176543007959585","0","0.125","{""baseline_win"":1,""tick_cap_draw"":7}","{""baseline_win"":2,""candidate_win"":1,""tick_cap_draw"":5}","{""all"":{""n"":8,""min"":18235,""median"":24000,""p90"":24000,""max"":24000,""mean"":23279.375},""W"":null,""D"":{""n"":7,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":1,""min"":18235,""median"":18235,""p90"":18235,""max"":18235,""mean"":18235}}","{""all"":{""n"":8,""min"":13501,""median"":24000,""p90"":24000,""max"":24000,""mean"":21661.625},""W"":{""n"":1,""min"":22157,""median"":22157,""p90"":22157,""max"":22157,""mean"":22157},""D"":{""n"":5,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":2,""min"":13501,""median"":17635,""p90"":17635,""max"":17635,""mean"":15568}}"
"unbounded_minus_v2","v6","strata","pinned_supalosa__tour-of-egypt","8","separated_lanes_v2","separated_lanes_unbounded_d1","2","0","6","1","1","6","0.25","0.1875","0.25","0.125","0.10887074683495994","0.038176543007959585","-0.0625","-0.125","{""baseline_win"":6,""candidate_win"":2}","{""baseline_win"":6,""candidate_win"":1,""tick_cap_draw"":1}","{""all"":{""n"":8,""min"":5872,""median"":7652,""p90"":9032,""max"":9032,""mean"":7503.75},""W"":{""n"":2,""min"":7652,""median"":8351,""p90"":8351,""max"":8351,""mean"":8001.5},""D"":null,""L"":{""n"":6,""min"":5872,""median"":7619,""p90"":9032,""max"":9032,""mean"":7337.833333333333}}","{""all"":{""n"":8,""min"":5662,""median"":7226,""p90"":24000,""max"":24000,""mean"":9580.75},""W"":{""n"":1,""min"":9637,""median"":9637,""p90"":9637,""max"":9637,""mean"":9637},""D"":{""n"":1,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":6,""min"":5662,""median"":7197,""p90"":9922,""max"":9922,""mean"":7168.166666666667}}"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-bvb","8","separated_lanes_v2","separated_lanes_unbounded_d1","1","4","3","3","2","3","0.375","0.5","0.125","0.375","0.038176543007959585","0.19535795103474965","0.125","0.25","{""baseline_win"":3,""candidate_win"":1,""tick_cap_draw"":4}","{""baseline_win"":3,""candidate_win"":3,""tick_cap_draw"":2}","{""all"":{""n"":8,""min"":18136,""median"":24000,""p90"":24000,""max"":24000,""mean"":22215.125},""W"":{""n"":1,""min"":18136,""median"":18136,""p90"":18136,""max"":18136,""mean"":18136},""D"":{""n"":4,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":3,""min"":19771,""median"":20308,""p90"":23506,""max"":23506,""mean"":21195}}","{""all"":{""n"":8,""min"":8997,""median"":14401,""p90"":24000,""max"":24000,""mean"":15335.25},""W"":{""n"":3,""min"":8997,""median"":9916,""p90"":10053,""max"":10053,""mean"":9655.333333333334},""D"":{""n"":2,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":3,""min"":14390,""median"":14401,""p90"":16925,""max"":16925,""mean"":15238.666666666666}}"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-corners","8","separated_lanes_v2","separated_lanes_unbounded_d1","1","5","2","2","4","2","0.4375","0.5","0.125","0.25","0.038176543007959585","0.10887074683495994","0.0625","0.125","{""baseline_win"":2,""candidate_win"":1,""tick_cap_draw"":5}","{""baseline_win"":2,""candidate_win"":2,""tick_cap_draw"":4}","{""all"":{""n"":8,""min"":15843,""median"":24000,""p90"":24000,""max"":24000,""mean"":21866.125},""W"":{""n"":1,""min"":15843,""median"":15843,""p90"":15843,""max"":15843,""mean"":15843},""D"":{""n"":5,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":2,""min"":19356,""median"":19730,""p90"":19730,""max"":19730,""mean"":19543}}","{""all"":{""n"":8,""min"":12085,""median"":24000,""p90"":24000,""max"":24000,""mean"":18814.75},""W"":{""n"":2,""min"":12214,""median"":16972,""p90"":16972,""max"":16972,""mean"":14593},""D"":{""n"":4,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":2,""min"":12085,""median"":13247,""p90"":13247,""max"":13247,""mean"":12666}}"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-corners-b","8","separated_lanes_v2","separated_lanes_unbounded_d1","2","6","0","2","5","1","0.625","0.5625","0.25","0.25","0.10887074683495994","0.10887074683495994","-0.0625","0","{""candidate_win"":2,""tick_cap_draw"":6}","{""baseline_win"":1,""candidate_win"":2,""tick_cap_draw"":5}","{""all"":{""n"":8,""min"":7474,""median"":24000,""p90"":24000,""max"":24000,""mean"":19910.5},""W"":{""n"":2,""min"":7474,""median"":7810,""p90"":7810,""max"":7810,""mean"":7642},""D"":{""n"":6,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":null}","{""all"":{""n"":8,""min"":10960,""median"":24000,""p90"":24000,""max"":24000,""mean"":21808.25},""W"":{""n"":2,""min"":10960,""median"":19949,""p90"":19949,""max"":19949,""mean"":15454.5},""D"":{""n"":5,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":1,""min"":23557,""median"":23557,""p90"":23557,""max"":23557,""mean"":23557}}"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-corners-b-golden","8","separated_lanes_v2","separated_lanes_unbounded_d1","1","3","4","2","4","2","0.3125","0.5","0.125","0.25","0.038176543007959585","0.10887074683495994","0.1875","0.125","{""baseline_win"":4,""candidate_win"":1,""tick_cap_draw"":3}","{""baseline_win"":2,""candidate_win"":2,""tick_cap_draw"":4}","{""all"":{""n"":8,""min"":10344,""median"":23512,""p90"":24000,""max"":24000,""mean"":21097.5},""W"":{""n"":1,""min"":10344,""median"":10344,""p90"":10344,""max"":10344,""mean"":10344},""D"":{""n"":3,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":4,""min"":19409,""median"":23350,""p90"":23512,""max"":23512,""mean"":21609}}","{""all"":{""n"":8,""min"":11362,""median"":24000,""p90"":24000,""max"":24000,""mean"":20495.125},""W"":{""n"":2,""min"":11362,""median"":13054,""p90"":13054,""max"":13054,""mean"":12208},""D"":{""n"":4,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":2,""min"":20021,""median"":23524,""p90"":23524,""max"":23524,""mean"":21772.5}}"
"unbounded_minus_v2","v6","strata","ra2web_advanced__hfo-golden","8","separated_lanes_v2","separated_lanes_unbounded_d1","2","3","3","4","3","1","0.4375","0.6875","0.25","0.5","0.10887074683495994","0.2936454286357453","0.25","0.25","{""baseline_win"":3,""candidate_win"":2,""tick_cap_draw"":3}","{""baseline_win"":1,""candidate_win"":4,""tick_cap_draw"":3}","{""all"":{""n"":8,""min"":13881,""median"":18761,""p90"":24000,""max"":24000,""mean"":19227.25},""W"":{""n"":2,""min"":15004,""median"":15442,""p90"":15442,""max"":15442,""mean"":15223},""D"":{""n"":3,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":3,""min"":13881,""median"":18730,""p90"":18761,""max"":18761,""mean"":17124}}","{""all"":{""n"":8,""min"":8338,""median"":20707,""p90"":24000,""max"":24000,""mean"":18563.5},""W"":{""n"":4,""min"":8338,""median"":16336,""p90"":20707,""max"":20707,""mean"":14276.25},""D"":{""n"":3,""min"":24000,""median"":24000,""p90"":24000,""max"":24000,""mean"":24000},""L"":{""n"":1,""min"":19403,""median"":19403,""p90"":19403,""max"":19403,""mean"":19403}}"
