"taskIndex","mapId","mapCaseIndex","jobId","country","countryOrdinal","candidateSlot","candidateStart","opponentStart","repeatIndex","requestedEngineSeed","winner","updates","endpointStatus","cellSha256","trajectorySha256","rawPath"
"86","hfo-lvl","108","24634262","Africans","5","0","87,157","39,82","3","3002600108","candidate","15475","candidate_win","8f78bf8219724f2262cc180c841a21b6ce0c0096c8b605c2d7d12d7e3ea556ab","78e3530079f4167165740b716ee4578694099b8e2fd3f37b6996ae296e26a0d6","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-086/cell.json"
"87","hfo-lvl","109","24634263","Africans","5","0","87,157","39,82","4","3002600109","candidate","22910","candidate_win","bad2f59f46888738ea40a6a6ee681d2677c1478afaef97d42478ee4d18fdf8da","ddd55c0214879d00eeb2b5e7c1fea193389ad3fa5224c5f684c594f99a173182","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-087/cell.json"
"88","hfo-lvl","111","24634265","Africans","5","1","39,82","87,157","1","3002600111","candidate","9248","candidate_win","ef3fb01429f27ea90b23e4f5e2f3086a7ace59f48f4ed68874ce07ab74092dff","17a630eeeb646bafb21490dc121db314415f57b6f3eeb83c52c8a0f601e9537c","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-088/cell.json"
"89","hfo-lvl","112","24634269","Africans","5","1","39,82","87,157","2","3002600112","opponent","27776","baseline_win","ca1b497475f2dc5d70e7e440b55839f8d54104332598316aea74950771559e40","f0d1e646e243d0e2ca3a2b5b8a05af134037d55986b7d03820c9d639ad3aca7a","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-089/cell.json"
"90","hfo-lvl","113","24634271","Africans","5","1","39,82","87,157","3","3002600113","candidate","8820","candidate_win","d538d3c2ba8a581be898b55f65ab244b5442922d1e8968db6d658649531e6881","21f1a293c9fc981015129d9b901c0506e40728205f912be930c9e7f626fb27ee","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-090/cell.json"
"91","hfo-lvl","114","24634272","Africans","5","1","39,82","87,157","4","3002600114","draw","90000","tick_cap_draw","c7ac9c1a21a0ae5f52366c8b24a6055bb54ed3b0a2586bec9fbaceb303ea174b","2c66b5bf767ceea7a43bf6191b0a3311211a045b966b4dd9ac9347cad58c6ff2","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-091/cell.json"
"92","hfo-lvl","116","24634273","Africans","5","1","87,157","39,82","1","3002600116","candidate","46388","candidate_win","5a289993cd57e4514817a5ddb91d340d282bd6626204112b3ad8d8d884ee9192","9192c5e99ed8fd18e7a77b0e68d266404219cb137cb72086a356cff76ea9f5de","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-092/cell.json"
"93","hfo-lvl","117","24634274","Africans","5","1","87,157","39,82","2","3002600117","candidate","44410","candidate_win","0789b0dc9757bbc22b56a3d010db7b53dedbbe06b44610b05cd284def6340adb","1ee9756d9481006446e6dce09de79afba944bb243b658929703f33f36bdc41dd","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-093/cell.json"
"94","hfo-lvl","118","24634275","Africans","5","1","87,157","39,82","3","3002600118","candidate","20381","candidate_win","99cd1f685d1af12b59d5317fb5a33574fdead15f9e0883fa437c1bd0104264ea","3beef6a9256fd0c3c6f2f554cdb7e4043c5babb811cb02a8c6df0f972529dd25","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-094/cell.json"
"95","hfo-lvl","119","24634278","Africans","5","1","87,157","39,82","4","3002600119","candidate","40504","candidate_win","f850674fffaed260aaf9b87d687e188a5c7a0c1ed519bf706abf0b79d393f2d0","3be1990f3efb6f4f87edba57812bfb029b9056ed88d1d583917b92b46b81fdbb","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-095/cell.json"
"96","hfo-lvl","121","24634279","Arabs","6","0","39,82","87,157","1","3002600121","opponent","43051","baseline_win","21a1cc83762e153e97d0659867ecb038c9da453b1059cf5c5e261d0eecd0fac7","1503ac7b465c5d38906b0299694250bf147139479ecf91ee11d5442efc7f2a4a","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-096/cell.json"
"97","hfo-lvl","122","24634280","Arabs","6","0","39,82","87,157","2","3002600122","opponent","22047","baseline_win","c9f69ba3e6c6c4e4ae4399752b353d12579a409ee707a3846a0d123a7623c22b","ae154e733ba2c003ee2ecadf304b009a74b12bcfb2b2d4e8300d10417a375d3f","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-097/cell.json"
"98","hfo-lvl","123","24634282","Arabs","6","0","39,82","87,157","3","3002600123","opponent","22455","baseline_win","16d813066af9a632b850ad3f472cdf4d10993156aa26ede789061d5f282b95ee","4d65a34b0e301648a7c7a3301dd98ced64a912a94866c92ee13594aa2f37d6be","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-098/cell.json"
"99","hfo-lvl","124","24634283","Arabs","6","0","39,82","87,157","4","3002600124","opponent","26840","baseline_win","2bb9d8dd00991efa6d77a165e06a137d7ff8a3e515b24e94a5d39bfd04f93884","da213c2b8509f377858dc752ff958ad77b7a61cb3eaea2f4152479058f3095b2","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-099/cell.json"
"100","hfo-lvl","126","24634284","Arabs","6","0","87,157","39,82","1","3002600126","candidate","38023","candidate_win","12181862baadc87fa1c4915d3a78dfd17d479fa1ec68fea4ecc4163fcd6e265b","9956111eb06149da1eac241c02aa2a91445bb7d73e3cf2473e9ca16d07b81043","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-100/cell.json"
"101","hfo-lvl","127","24634285","Arabs","6","0","87,157","39,82","2","3002600127","candidate","45089","candidate_win","9c2d7d69238c04a79e02ad390ae2f06c99ab8ffb99ea4a6eca3bee471338eb77","a96db5cb5871d8876aac61b62b04b69b19b5f2a933cb0e4f904a6ca9968762a7","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-101/cell.json"
"102","hfo-lvl","128","24634286","Arabs","6","0","87,157","39,82","3","3002600128","candidate","41079","candidate_win","0ff59c836aa86f0fa60536fbbfc889c8c444ec232e093fd65a4205d71941a333","45ea2b11a00db73bbf1f228cf25816265fb65cad1caef4b23bdec8a6dcca5019","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-102/cell.json"
"103","hfo-lvl","129","24634287","Arabs","6","0","87,157","39,82","4","3002600129","candidate","20274","candidate_win","333c1d5b97bca38d4e94c54c77d5d5c339d18e10a53a822d25f8b74485d5b91a","17ad0a547d717bdfe5c71027495665c044a1c2db1c44179bda817ef92ca49864","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-103/cell.json"
"104","hfo-lvl","131","24634295","Arabs","6","1","39,82","87,157","1","3002600131","draw","71368","engine_nonliteral_termination_draw","03962565d8f04757b9beafdb9954ed98f70037a2f40fa3f4ead50d4974a71d7f","7c9ffe9f74101544025717a75cfdd763cbe95ba1a056638b8c55ab0b41786752","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-104/cell.json"
"105","hfo-lvl","132","24634296","Arabs","6","1","39,82","87,157","2","3002600132","opponent","27515","baseline_win","7b2071b3330a0095655112c37eff978d94003592dd4fafeca686d0dc0396edeb","8d42970fb1ac7e946aface9227ffec305219aac210a58b89e88800b7ebbc4c4a","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-105/cell.json"
"106","hfo-lvl","133","24634297","Arabs","6","1","39,82","87,157","3","3002600133","candidate","49050","candidate_win","654276c43f4c84a66241bb10a7b32b05ef8dcc3d20d668464190f68870c00c09","7d68287e33d9876f66fe532d0ccba75e5d2c77ab917536458f5d8febe3119fa9","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-106/cell.json"
"107","hfo-lvl","134","24634298","Arabs","6","1","39,82","87,157","4","3002600134","candidate","28034","candidate_win","743cb98f9941818668cdea9c044f764de2c5cc6df2e2364bd5e31ba80c635409","08c231f2c134cb362c41128829c54cb79258e6a06850028b6ef4cb7cc4c6d223","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-107/cell.json"
"108","hfo-lvl","136","24634299","Arabs","6","1","87,157","39,82","1","3002600136","candidate","38532","candidate_win","e941e2e7213114081c6caafe5065fa03c894b7e389ef93ea960c5852b1f350e2","9fff1558d06fd74573f1d77e2ead7663c35b4efa48040aacae7720ff8da5f336","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-108/cell.json"
"109","hfo-lvl","137","24634300","Arabs","6","1","87,157","39,82","2","3002600137","candidate","20251","candidate_win","dec7122fee56aaeda83bcc345ccd7a0fc9c9406b275bb9be336c54e871e0329b","c0715a8c53d66df7de06ab87f9379eb8d81e19f0c11fde664a0048a83a554aa7","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-109/cell.json"
"110","hfo-lvl","138","24634301","Arabs","6","1","87,157","39,82","3","3002600138","candidate","14750","candidate_win","b3d330a5150dce6bedc0b317c803cce18a9a2e46b05aa8a55265677dc91a3bfd","043951bd95a3f3f745f98571f77a567ec180511e96a4d42da6b58bf665291117","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-110/cell.json"
"111","hfo-lvl","139","24634303","Arabs","6","1","87,157","39,82","4","3002600139","candidate","52588","candidate_win","48168c67c310bf81a353f1f53f20a6570a49f6022efb07a41502a71a1c59cdf8","0915fd5f3bbf8660dda4ee6dda6618831d9524d537df7ee10d9c28aa806b2e05","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-111/cell.json"
"112","hfo-lvl","141","24634305","Confederation","7","0","39,82","87,157","1","3002600141","candidate","10312","candidate_win","55791bb3285ce3785be1f83ed7d6a8063d67781be954c3e3cac0d864aa4b641e","68b269933efae8fef7f2ab178dbed3e989be7f2a16b67f98abfb14c1c6598e3f","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-112/cell.json"
"113","hfo-lvl","142","24634306","Confederation","7","0","39,82","87,157","2","3002600142","opponent","27054","baseline_win","167ed3168933846b3e2f1ce1dd41870367d9e32c5024b11435ce6f5f37b4e142","39baa3eb955fbc020ea5dae2f4a5e8de5ed067c057195b1e312483cb31fc8fd3","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-113/cell.json"
"114","hfo-lvl","143","24634307","Confederation","7","0","39,82","87,157","3","3002600143","candidate","41616","candidate_win","7cf7623578dbbc50d499aa656dfbdab1afe1e466c29275140c803bed20d7c9d4","5469a0e93123b73e00793e9faff46db507b1931b90f0d16b3c64a3e40d613853","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-114/cell.json"
"115","hfo-lvl","144","24634309","Confederation","7","0","39,82","87,157","4","3002600144","candidate","9372","candidate_win","96478238518d214fba6003e8d7ee91a72867a36a3915e7e24bdffd5dc35b0e42","809872d5351febac97289eb988e45aa0c75a9c748a56f5c2fb65d3853ec3644d","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-115/cell.json"
"116","hfo-lvl","146","24634310","Confederation","7","0","87,157","39,82","1","3002600146","candidate","12518","candidate_win","f20f5f5110021b351d0f4b7a5f74d5623d50c60222c2c93bed98cac92b6d22d1","7e1643c6ba6e4594b0e0d443915b4caae6aff1340caf35c36e60e3117119734a","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-116/cell.json"
"117","hfo-lvl","147","24634311","Confederation","7","0","87,157","39,82","2","3002600147","candidate","13608","candidate_win","8684ead22cc4f86f2e1e47c0652e3fd08869e0091caf2f23b5251c3e4852ea39","cc393f80f50bbc1f9b87746c887b8f8ead426c9fabcb84025cd8104fc65628f2","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-117/cell.json"
"118","hfo-lvl","148","24634312","Confederation","7","0","87,157","39,82","3","3002600148","candidate","46233","candidate_win","bb555dd1c89e0c4a7b1f22e3c07bc1c34aba0421817873d0d2ceccc811c17067","a8281d20f29f78456775f7d8fcb03facef71c78bbae03ce4fd8c44275a7f4597","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-118/cell.json"
"119","hfo-lvl","149","24634313","Confederation","7","0","87,157","39,82","4","3002600149","candidate","20498","candidate_win","98d42fc66748afb7e68fa084fc3f6db7fff75e8967041bd75ea22899d951b2dc","4c15026dcee4f3fc76f1bb9dfe356eca659ea0739bd400d96e4b78f1908e3a89","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-119/cell.json"
"120","hfo-lvl","151","24634314","Confederation","7","1","39,82","87,157","1","3002600151","opponent","22974","baseline_win","0de0dd9fa26581b7a6d983029480d19a02d0fdf662c8fb8a06685f1379fe2cf3","6152a58bb251c1cc5585fc32f1375ebbab74957a314b226e7fef92b978e540b5","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-120/cell.json"
"121","hfo-lvl","152","24634315","Confederation","7","1","39,82","87,157","2","3002600152","candidate","9252","candidate_win","06e07ae8c6d5aeb6dcfd40615633efb093dcba176433a90a0491d034fc4b63dd","d87c5e0baae7dca5dd1844243750788082eab7798edbbd6c5f35da4f6274906e","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-121/cell.json"
"122","hfo-lvl","153","24634316","Confederation","7","1","39,82","87,157","3","3002600153","opponent","31266","baseline_win","6f61223b0cfd91939191bc3c80ec71f096ebdbcf63cfa7f9285c8b010c71a6a3","3066867a6496c47c0e085bc5e21f41577f947dcf58d9de3bce7eab73bf3bf852","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-122/cell.json"
"123","hfo-lvl","154","24634317","Confederation","7","1","39,82","87,157","4","3002600154","candidate","66720","candidate_win","4545a7fbe9fe1f41cd0a096e06f79bba83a8b16498ba0309fdfe567ca65f159b","3930ee10369975ea5295ed96ac98a5ea6df65a90034abc393e79121ac5a9344f","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-123/cell.json"
"124","hfo-lvl","156","24634318","Confederation","7","1","87,157","39,82","1","3002600156","candidate","33580","candidate_win","39b7366395e04087cf10f514c2bca730e435d19f5b1fddb7c92e5d69a7cdb9f4","19ae455b200ccefc03fcf84f2e9dfd16c101ecfa16ec5c0f0e8ab334c7bb3645","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-124/cell.json"
"125","hfo-lvl","157","24634319","Confederation","7","1","87,157","39,82","2","3002600157","candidate","20164","candidate_win","63b293368427626d4e6d0966c8bbaf6882b6cb01c599e424aac558f361e895a6","f964e1281d8c6e7ccb69e0b6942fcb11670ca40280bd6664faf7bba9da397678","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-125/cell.json"
"126","hfo-lvl","158","24634324","Confederation","7","1","87,157","39,82","3","3002600158","candidate","46081","candidate_win","5315f143454c1916a347bd2cc4f87c855eef6e2ed9bb416b5f30a24817d8749a","1c2b0af856f646d04602d9ed6913f1f4e86a8ecf1dc4b4f734a64f2335effa90","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-126/cell.json"
"127","hfo-lvl","159","24634325","Confederation","7","1","87,157","39,82","4","3002600159","candidate","33287","candidate_win","b87b2e3704f0cc74135a0c04f0259634fafcacd5495e60fe8a1b2020dfdc4566","287730615e7317000dfc8313646bc3573fa4ac4a985440972442892fb16bf5ef","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-127/cell.json"
"128","hfo-lvl","161","24634327","Russians","8","0","39,82","87,157","1","3002600161","opponent","24883","baseline_win","4030bf7a7464b64f0d1fd7d2cb68c2414cf9820d682eb5276545b3cb52943eac","922682ff9edbf6ce999354c66c08a48e9d3e0be3cc42f4fdee911cb23c7e5311","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-128/cell.json"
"129","hfo-lvl","162","24634331","Russians","8","0","39,82","87,157","2","3002600162","candidate","50321","candidate_win","3151b2a2e589f0f2c2ca942d69b624e621deb30de75b8c69576c157490de6943","165f537e21059b9fa0a8ca803ca0a20c2e396c0d5a96d2f1da54c0b4ddcee72c","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-129/cell.json"
"130","hfo-lvl","163","24634334","Russians","8","0","39,82","87,157","3","3002600163","opponent","31480","baseline_win","f7392b8a6be68638780f65cd71d50f2b3d2e040af9d504a1319b708a14cf3cc0","b1273134ff4808da5225f1aa042463e6fef2138575d9e1f6cce37b2621fff3fe","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-130/cell.json"
"131","hfo-lvl","164","24634335","Russians","8","0","39,82","87,157","4","3002600164","candidate","9314","candidate_win","3ef33ee1054d4815c7316714e4fbc776aafbfdee29e498af670151dce224247a","f1cf758136a97105eea662d77bb951b8c59e042c68fa1d520f61999442ad337d","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-131/cell.json"
"132","hfo-lvl","166","24634372","Russians","8","0","87,157","39,82","1","3002600166","candidate","20230","candidate_win","93116264561de804af98cbd0b107b4ab37454b912709604d71b952ea4af6eaa2","06d2fba668a26d743dcf75ed71ff459a3d729c65fd012311da7bf6eabf88ba41","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-132/cell.json"
"133","hfo-lvl","167","24634519","Russians","8","0","87,157","39,82","2","3002600167","candidate","15445","candidate_win","f9d2ea5b0be509d7fdc4161eec3aea785adab9ad509892e664d98d76f3f8cae2","0ff0d539c324ed52a0f39db98feaad46a76812a8e4ba227aa8eeaa6ee2f49e35","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-133/cell.json"
"134","hfo-lvl","168","24634520","Russians","8","0","87,157","39,82","3","3002600168","candidate","44537","candidate_win","624972a161a136ee5aa4ef30464625956c2894f92898604441a42d098841e69e","674c932cf210caafc2a577280e599215c3aedbaa861510b27b3394ecb4c794b8","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-134/cell.json"
"135","hfo-lvl","169","24634535","Russians","8","0","87,157","39,82","4","3002600169","candidate","23218","candidate_win","f20e18150303f59655637a43dd4f43feb03eea918aa6a20617ecc8bf01077363","cd951775321e45bb34ec040ccb4fd39c744251c80fbb1335898c774193ee0ed0","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-135/cell.json"
"136","hfo-lvl","171","24634536","Russians","8","1","39,82","87,157","1","3002600171","candidate","20514","candidate_win","2396173b32cb984a2f7f96aaca721f5f89becdf083affbecf6ac82ef4486c814","9ccc42882531a32927df898deb655a3ae066a4b47e02b7b3d8f2929154a2487f","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-136/cell.json"
"137","hfo-lvl","172","24634538","Russians","8","1","39,82","87,157","2","3002600172","opponent","22842","baseline_win","642d3cd1298f9d63ccf56c368dcf23f3b2704be80322662ff6aac6cacb70081c","9313e64121c6d1a096b55fafacae852efbd3b32f1c81b41c8e9fa9d5af499b3c","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-137/cell.json"
"138","hfo-lvl","173","24634539","Russians","8","1","39,82","87,157","3","3002600173","draw","90000","tick_cap_draw","fa58dc75e20d5fa4e749c4993bdd9642ff79a0a0d974cee3c6efef4f2bd9652e","50051a3ce64306a6fd16a614364045fe5d63691563d7fba7b5b6c10a6478c1a3","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-138/cell.json"
"139","hfo-lvl","174","24634542","Russians","8","1","39,82","87,157","4","3002600174","candidate","44669","candidate_win","8a8aaf871b1923ac7f094060b7a91495af0adf25c880c1005d3ee5f1a15892e8","390381129e9e179c4bff892b039f2ce6e4171b78b5032ed01135244036d78f7a","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-139/cell.json"
"140","hfo-lvl","176","24634543","Russians","8","1","87,157","39,82","1","3002600176","candidate","34819","candidate_win","377ddd6ed518bf30d9caee003c54222570532e8f82a51a87a9dccbdd843b8fea","c264cf74f8dea0419ba23ff48588956fafdc7839d7eb1f08749020892e659128","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-140/cell.json"
"141","hfo-lvl","177","24634550","Russians","8","1","87,157","39,82","2","3002600177","candidate","40711","candidate_win","99dab84f8b1de4bcae9e8935bf63cfa1d76449a965e418f477566b4d07d5575c","ef6e632ea5d7bcf048b60e27b359a23b51136fd9165d5f38cc76af2b97006747","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-141/cell.json"
"142","hfo-lvl","178","24634560","Russians","8","1","87,157","39,82","3","3002600178","candidate","45669","candidate_win","f5b6b52725c207f44feff951c04da69b21cb81e670919f67eafb5ad118836e95","42e17372d668c3fc31d7f6c0af84790dca9b44dc8a93eaf3a9970dbd4f85d007","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-142/cell.json"
"143","hfo-lvl","179","24634562","Russians","8","1","87,157","39,82","4","3002600179","candidate","40926","candidate_win","80df7fdef72e5a840b327d62e90c7294ef19d7ea0b56b4738fa5eec135fde32b","e7765eb83a0aaeb586961b45cbc536ce34829370d815fc1b2c5c980484eaec67","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-143/cell.json"
"144","hfo-rvr","1","24634564","Americans","0","0","151,118","88,34","1","3002700001","candidate","8434","candidate_win","9a0e08936f7ab389b7fbd0ba4bd6c8853aabab2156257b6bd04fc73cc98071b1","ec4829eb27608710f574c71c5f0c6ef4946ce9d628dfc3b9e9b4001ef8ea9185","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-144/cell.json"
"145","hfo-rvr","2","24634566","Americans","0","0","151,118","88,34","2","3002700002","opponent","22109","baseline_win","b006a540fdb91cdbf0e00befa5c7db83e7222c95ae2090b51e0e270937e3bd4e","86bf1f5afd2a8ce604f9e7867b914bccf8d606e32935f2fdcf8f81674f42e7d2","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-145/cell.json"
"146","hfo-rvr","3","24634568","Americans","0","0","151,118","88,34","3","3002700003","candidate","22069","candidate_win","65dfa49ce0cb8742b38a477ef82b6c9fe6faaeae30262cec0921b15fb23c4109","647a3b2c8bda814a83214a1197f4a9bde4fe01792834c4108aec7f8a93e436e0","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-146/cell.json"
"147","hfo-rvr","4","24634569","Americans","0","0","151,118","88,34","4","3002700004","candidate","21065","candidate_win","b6dc2f2918d50cb58833cf8eda7e1547f1a26b87fd504356570f582eae961356","e8355e0da2eb66bcce4be873edc215aca4863e4a3ed5c857086c56bcca2cf688","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-147/cell.json"
"148","hfo-rvr","6","24634571","Americans","0","0","88,34","151,118","1","3002700006","candidate","51052","candidate_win","94fb8f02f7d8c27ad6038787428188d2ebc673e6ca7562b9e757206c7c1c7331","b60d3091021005094741917a02a218296dc8410750678548741185a84472efbc","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-148/cell.json"
"149","hfo-rvr","7","24634572","Americans","0","0","88,34","151,118","2","3002700007","candidate","29384","candidate_win","2c8eff5fa04dd6b3716ab455c659ba50afd503e7f6ab5d0ffb80108c741cca8c","6cbec0af87a22afc37ccb92353fddb80c4946e7d609ec263663951284a3a7f5b","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-149/cell.json"
"150","hfo-rvr","8","24634578","Americans","0","0","88,34","151,118","3","3002700008","draw","90000","tick_cap_draw","424be72bb8044f92d94dc29c4653d884153b924ca70b6c26021d906e4e7f4fb7","7ba9d065448e02cec28775b0817e44b45edca3d7cb4085b2779b967757188f47","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-150/cell.json"
"151","hfo-rvr","9","24634579","Americans","0","0","88,34","151,118","4","3002700009","draw","79888","engine_nonliteral_termination_draw","119cc80fdb268bf9468555128f9e71dc004aaf58722f95deae7833f15da20ced","d47959c5396e1fabc0c6a1d44f7b8ba35df9603fa1533f39fd6539795078ca99","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-151/cell.json"
"152","hfo-rvr","11","24634580","Americans","0","1","151,118","88,34","1","3002700011","candidate","8512","candidate_win","e117e481bba6902b5772d798fadaeeeddfbfd375bfd7e67e5f4e60802334c2ec","2d65d494bba7ec77edadf6d47143bac291dfbbcca58ef5ac3269cd9b24a924e7","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-152/cell.json"
"153","hfo-rvr","12","24634581","Americans","0","1","151,118","88,34","2","3002700012","candidate","9988","candidate_win","7fe47001803b59bbefb5b666e040a1a69af00f0ef88ad3aba3f520b04c6ee804","5946c42c1dfe784ceb5efbd163ecc7e21fa95a981cad262dfabaed611164e01c","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-153/cell.json"
"154","hfo-rvr","13","24634586","Americans","0","1","151,118","88,34","3","3002700013","candidate","20915","candidate_win","4fd28d1fbb2c8c67bf792ef66fbe989fc2c931b6250e70c9431f4e47eceb2dc7","142d3368b2da009e61af1b827531a61cb441b08858c10a91a26cb115e31b8fbe","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-154/cell.json"
"155","hfo-rvr","14","24634587","Americans","0","1","151,118","88,34","4","3002700014","candidate","9094","candidate_win","fe5676e29ea9297f9c95c48ee313d3b978881a5f9760e0a8a2084cd8cbc10edf","8f62ffd0ad40d0104dc39429164b4316b6b7af0c0dadea3e294df763af4b3c77","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-155/cell.json"
"156","hfo-rvr","16","24634589","Americans","0","1","88,34","151,118","1","3002700016","candidate","33251","candidate_win","fb25de947c41f2d2811aea94babdd78ffb5e80dc53141b25134f9c538bf57dea","10d805e4f30d17dd6e57ae414c4f98fb472725b24db9fd8fd75dc48e8305dc16","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-156/cell.json"
"157","hfo-rvr","17","24634590","Americans","0","1","88,34","151,118","2","3002700017","draw","90000","tick_cap_draw","4979816c448344eb15db5e66112730b79403b9f8af5eec41e37adfc2177f7b5b","defe820c3d1e129898e0148c1dff878991586b9e26c8de6c562d36ed99c6886a","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-157/cell.json"
"158","hfo-rvr","18","24634591","Americans","0","1","88,34","151,118","3","3002700018","draw","90000","tick_cap_draw","a3e3a60736d9ee861f986baf7851b10729fe309ef50348fd8d6f1e511d317302","e7f71df65f889d80dde6f175ad770c4e1727f135ea5d9e6c7f888620a7342521","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-158/cell.json"
"159","hfo-rvr","19","24634592","Americans","0","1","88,34","151,118","4","3002700019","candidate","24310","candidate_win","6619fa815db33aba3c5578b5d1ff238b830e164347c9038dbb0a0d10d3205264","f7ebc772d4401681d691c153db9ed6d651ecd8c0053496449de0bbcf91c31469","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-159/cell.json"
"160","hfo-rvr","21","24634596","Alliance","1","0","151,118","88,34","1","3002700021","opponent","19373","baseline_win","71796a8e40dd512474c897084c512b2fbcfa6568e54ae550d2a3b2f3ce9c714d","3c2c73bcfecb829db586669daf27a998e21b2b38fdaf12ce25992e886a784d61","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-160/cell.json"
"161","hfo-rvr","22","24634598","Alliance","1","0","151,118","88,34","2","3002700022","candidate","9208","candidate_win","2bcd59a30eb7b4596ad7fe4a960c2789dd5353d3697bc1a13457cb8a8c88c3c0","3ca421c16107214efdb749a5d39817b53ccceab6965940c0323f349d706b3a57","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-161/cell.json"
"162","hfo-rvr","23","24634599","Alliance","1","0","151,118","88,34","3","3002700023","candidate","22280","candidate_win","3d910b0459c1e8b24a604c4f898b514b202c13993cc8b704f9054b784ec0ded5","3a35ced0d61a87597b39dce8a05b7b5609cf7d4831ba30cb83c834a8aedfc87f","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-162/cell.json"
