"taskIndex","mapId","mapCaseIndex","jobId","country","countryOrdinal","candidateSlot","candidateStart","opponentStart","repeatIndex","requestedEngineSeed","winner","updates","endpointStatus","cellSha256","trajectorySha256","rawPath"
"50","hfo-lvl","63","24634195","Germans","3","0","39,82","87,157","3","3002600063","opponent","12000","baseline_win","b97605dd15499033a67cec5a04de56f6b2d8ef9be3ad0b3fecc9b912f6c8c835","5e924f3d3888c1a39cc324bbb4107a56a07d0dd86ad53d290d79048fe674f7cd","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-050/cell.json"
"51","hfo-lvl","64","24634196","Germans","3","0","39,82","87,157","4","3002600064","opponent","13540","baseline_win","44009deefdd3fd331a4746e87f262ef86f168c9e059c23852d9e6dcc6f12ec7f","b2bef1db9b8eaea874dd817b939799dfb800b6df16344ffe59c70d6b0ac95297","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-051/cell.json"
"52","hfo-lvl","66","24634197","Germans","3","0","87,157","39,82","1","3002600066","candidate","22004","candidate_win","5c5bb268f54a1fcd1aa1ac7f8dbabc33e11be8a165ef3dd23cd17cc843001393","0cbaef83c5d81f3b8c5e1843c754913b70c0e2b2ba1345a3b46c8a586841cbe6","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-052/cell.json"
"53","hfo-lvl","67","24634198","Germans","3","0","87,157","39,82","2","3002600067","candidate","21833","candidate_win","ef4e6562d4877fffe8f325fd6ab1f6f25242e3d5e3294fb5b67f44dc486a8022","38c1e9a513adae6e370c623a4e3e1676299e468cd57c0c6e25d5ca352c48ef1a","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-053/cell.json"
"54","hfo-lvl","68","24634199","Germans","3","0","87,157","39,82","3","3002600068","candidate","24285","candidate_win","64b58bc63be0a2aa958be9656ccb8c64fa2c271900ecdb33e4a705adecec61e6","720f575c9be8e1ece9c499ff5f28195f45bf1b852080bfc3ea3381ce6bcdc2e6","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-054/cell.json"
"55","hfo-lvl","69","24634202","Germans","3","0","87,157","39,82","4","3002600069","opponent","17098","baseline_win","20f58f42f7801d165bc7bf24dbd05c733e46cc5e8934e27aea0e4eae3908ba91","e88fb0a032fc472e8a8729abc41424e0edba065741729fdb47826ef846747440","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-055/cell.json"
"56","hfo-lvl","71","24634203","Germans","3","1","39,82","87,157","1","3002600071","candidate","20379","candidate_win","598a1c55bbfb0ab2253f548f8c5e6499fe11531796f9b7516d55d782c42ea1b3","1f3c3237a88081f1d74c6fda9d0981c629ff094886c32790b715df16b9cffb0d","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-056/cell.json"
"57","hfo-lvl","72","24634204","Germans","3","1","39,82","87,157","2","3002600072","candidate","21155","candidate_win","54f0875ea0088119b55d5c0c8939e054fce431719ff54946870ae9c052217792","e2981de0463a86c12a1ca65b205aaf279e04c7fe3c28c168fdf184fde546dedd","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-057/cell.json"
"58","hfo-lvl","73","24634205","Germans","3","1","39,82","87,157","3","3002600073","candidate","21020","candidate_win","0d84ecd459750e952c204ef79b3bec043c2deb9b7e6072d144d8ae204bd1c81b","d065ffb6f0ea6c5d4faa7bda3917736307a4cbd598485334a97a2896e62069b9","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-058/cell.json"
"59","hfo-lvl","74","24634206","Germans","3","1","39,82","87,157","4","3002600074","candidate","21113","candidate_win","7f7430ba63167de92701764d24d8059de0f184910d1d5a9bb699cd0fdcf9903c","67b44be5a4c22914213f4613283197f453c94d187ebff551f9037660968ed4a7","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-059/cell.json"
"60","hfo-lvl","76","24634207","Germans","3","1","87,157","39,82","1","3002600076","candidate","7774","candidate_win","c942398ffb5adcba7cab2520156ce8d0ab6ac7af261beadecdebf020d452d911","26ac4d3e51ae15ab280532e27181d6e77e8df19a57c0ebaf34bd2b2ec54786f9","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-060/cell.json"
"61","hfo-lvl","77","24634208","Germans","3","1","87,157","39,82","2","3002600077","candidate","8110","candidate_win","31fc490afcce3fabf89949ef7d068cdbcd78f669529cf99a89c8eced144eb10c","bc9946c68a3780dc5218256254026f0f085b25db93a2b26869f7758358798481","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-061/cell.json"
"62","hfo-lvl","78","24634221","Germans","3","1","87,157","39,82","3","3002600078","candidate","54705","candidate_win","3a53b56aaf8028e5063e2e6710ff14c84e1b6fb2cbd83cb4fe4fd5fcd01adc38","2545d8c987423e4b81d33f101d8528c8713bc6ebab03b77d190ef46a7be0a95d","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-062/cell.json"
"63","hfo-lvl","79","24634222","Germans","3","1","87,157","39,82","4","3002600079","candidate","7841","candidate_win","4b0c6ce7f3f5a1a25f993704c368bf57ab03a1095dfe02fccc678e8547c4d882","9bf85bdceecf0231e6b525e51302b7660a0c3311e324f14d2e6fddbf513f8f04","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-063/cell.json"
"64","hfo-lvl","81","24634225","British","4","0","39,82","87,157","1","3002600081","opponent","8641","baseline_win","16c69cc0583b77f68b6e412bdd8b5cb997629e9ffacebb6d568eb6cb941c75f8","1639b4d7579f7321d3b7f304dbd168ca7b42ccd7996ee291c4b716bc63366aae","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-064/cell.json"
"65","hfo-lvl","82","24634226","British","4","0","39,82","87,157","2","3002600082","opponent","8534","baseline_win","c7ba4bc6fdb9f3106380f241d5f094ad1cc88a1c8152928452cf60ec6fbc0b18","797b540d6c1ec902eb4c131dbe1282f3f8cfc842685be2273a70b4c4fdd7d9a8","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-065/cell.json"
"66","hfo-lvl","83","24634229","British","4","0","39,82","87,157","3","3002600083","opponent","13540","baseline_win","cffa73ef611b1cada9147aca99a9bcbca287becaa8931ccaafaef7855c137f5e","98444a151ae784a2565ff00cacfa3c3325aeb96f354fc8cb0b8753b11c9c61b3","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-066/cell.json"
"67","hfo-lvl","84","24634230","British","4","0","39,82","87,157","4","3002600084","opponent","13330","baseline_win","ed8ad755f5ef45f5bd90e2c505867201a154891ef0b20374c5cfb5c55b8799d7","92652374f70b7b4f884256fa11b9cc2e4557efaf59d7317b7d476e401ac22fbe","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-067/cell.json"
"68","hfo-lvl","86","24634231","British","4","0","87,157","39,82","1","3002600086","candidate","24055","candidate_win","2701bbb7a2365b72dfeea45bde860200c0ba14b57d64652bec45fc6227a2e676","e579ea4f5860437d99eac843710f06355843659f3a6c729ff7dd9783d516ec71","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-068/cell.json"
"69","hfo-lvl","87","24634233","British","4","0","87,157","39,82","2","3002600087","candidate","21722","candidate_win","02e9bd00f35a30d01a49af3c7347890ca2b07b804c5cae7ddebde088b84c950d","30bc80d4eda28ec9e839950be38d5a61a0d0a059f03782d720c6f106dabf20a5","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-069/cell.json"
"70","hfo-lvl","88","24634234","British","4","0","87,157","39,82","3","3002600088","opponent","14146","baseline_win","06fb302ad83f791ad721894a7cf5a206dc0e167211c3f6e0785ba7b2e47fc2bf","ab8cfaf32a626656a604d5185492cd412f3c6dfea1433600312e4ca0922374bd","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-070/cell.json"
"71","hfo-lvl","89","24634235","British","4","0","87,157","39,82","4","3002600089","candidate","23142","candidate_win","624afa4eab6ed59037d2c4f94574fcf95aa0984df5be323004933735ba9cd753","d9ab20126fda8acfb83ae32c746996e7ba82ef229678f472fdf9899460678275","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-071/cell.json"
"72","hfo-lvl","91","24634236","British","4","1","39,82","87,157","1","3002600091","candidate","21110","candidate_win","2ea67cb500359d9b81bd9629427022575497c49cbb4880d65e400e4a4c98f2fa","ee5642ec8e3b85a2e5447ca17d027aff555d26bef39391d43f3c251f5bdaa7db","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-072/cell.json"
"73","hfo-lvl","92","24634237","British","4","1","39,82","87,157","2","3002600092","candidate","21035","candidate_win","90f492622d97d0e6ffa3deb13aa5e85078372c3a648309295a17291b700283ee","4959e5d855b58e7ef78301e83887482325e12ad1c235a4543a95258ac7dc920c","research-evidence/multimap-v2/unchanged-confirmation-v1/cells/task-073/cell.json"
