"caseIndex","caseId","blockIndex","cohort","mapId","countryOrdinal","country","candidateStartOrdinal","opponentStartOrdinal","candidateStart","opponentStart","candidateSlot","repeatIndex","pairIndex","pairId","requestedEngineSeed","observedCandidateStart","observedOpponentStart","updates","selectorJobId","cellSha256"
"20","fresh-dual-v1-0020","0","central","hfo-le","0","Americans","1","3","88,34","88,157","0","0","10","central:hfo-le:0:1:0","3765000010","88,34","88,157","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"21","fresh-dual-v1-0021","0","central","hfo-le","0","Americans","1","3","88,34","88,157","1","0","10","central:hfo-le:0:1:0","3765000010","88,34","88,157","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"22","fresh-dual-v1-0022","0","central","hfo-le","0","Americans","1","3","88,34","88,157","0","1","11","central:hfo-le:0:1:1","3765000011","88,34","88,157","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"23","fresh-dual-v1-0023","0","central","hfo-le","0","Americans","1","3","88,34","88,157","1","1","11","central:hfo-le:0:1:1","3765000011","88,34","88,157","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"24","fresh-dual-v1-0024","0","central","hfo-le","0","Americans","1","3","88,34","88,157","0","2","12","central:hfo-le:0:1:2","3765000012","88,34","88,157","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"25","fresh-dual-v1-0025","0","central","hfo-le","0","Americans","1","3","88,34","88,157","1","2","12","central:hfo-le:0:1:2","3765000012","88,34","88,157","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"26","fresh-dual-v1-0026","0","central","hfo-le","0","Americans","1","3","88,34","88,157","0","3","13","central:hfo-le:0:1:3","3765000013","88,34","88,157","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"27","fresh-dual-v1-0027","0","central","hfo-le","0","Americans","1","3","88,34","88,157","1","3","13","central:hfo-le:0:1:3","3765000013","88,34","88,157","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"28","fresh-dual-v1-0028","0","central","hfo-le","0","Americans","1","3","88,34","88,157","0","4","14","central:hfo-le:0:1:4","3765000014","88,34","88,157","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"29","fresh-dual-v1-0029","0","central","hfo-le","0","Americans","1","3","88,34","88,157","1","4","14","central:hfo-le:0:1:4","3765000014","88,34","88,157","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"30","fresh-dual-v1-0030","0","central","hfo-le","0","Americans","1","3","88,34","88,157","0","5","15","central:hfo-le:0:1:5","3765000015","88,34","88,157","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"31","fresh-dual-v1-0031","0","central","hfo-le","0","Americans","1","3","88,34","88,157","1","5","15","central:hfo-le:0:1:5","3765000015","88,34","88,157","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
